match,commence_time,logged_at_utc,submission_id,score,actual_score,predicted_probability,hit
Mexico vs South Africa,2026-06-11T19:00:00Z,2026-06-11T00:01:00+00:00,conversation-02-mexico,1-0,2-0,0.13821451983074048,0
Mexico vs South Africa,2026-06-11T19:00:00Z,2026-06-11T00:01:00+00:00,conversation-02-mexico,2-0,2-0,0.12992164864089606,1
Mexico vs South Africa,2026-06-11T19:00:00Z,2026-06-11T00:01:00+00:00,conversation-02-mexico,2-1,2-0,0.08120103040056004,0
Mexico vs South Africa,2026-06-11T19:00:00Z,2026-06-11T00:01:00+00:00,conversation-02-mexico,3-0,2-0,0.08661443242726403,0
Mexico vs South Africa,2026-06-11T19:00:00Z,2026-06-11T00:01:00+00:00,conversation-02-mexico,3-1,2-0,0.05413402026704002,0
Mexico vs South Africa,2026-06-11T19:00:00Z,2026-06-11T00:01:00+00:00,conversation-02-mexico,3-2,2-0,0.018044673422346676,0
Mexico vs South Africa,2026-06-11T19:00:00Z,2026-06-11T00:01:00+00:00,conversation-02-mexico,4-0,2-0,0.04480056849686071,0
Mexico vs South Africa,2026-06-11T19:00:00Z,2026-06-11T00:01:00+00:00,conversation-02-mexico,4-1,2-0,0.02706701013352001,0
Mexico vs South Africa,2026-06-11T19:00:00Z,2026-06-11T00:01:00+00:00,conversation-02-mexico,4-2,2-0,0.011811058967354187,0
Mexico vs South Africa,2026-06-11T19:00:00Z,2026-06-11T00:01:00+00:00,conversation-02-mexico,4-3,2-0,0.004330721621363202,0
Mexico vs South Africa,2026-06-11T19:00:00Z,2026-06-11T00:01:00+00:00,conversation-02-mexico,5-0,2-0,0.019106124800131775,0
Mexico vs South Africa,2026-06-11T19:00:00Z,2026-06-11T00:01:00+00:00,conversation-02-mexico,5-1,2-0,0.012992164864089606,0
Mexico vs South Africa,2026-06-11T19:00:00Z,2026-06-11T00:01:00+00:00,conversation-02-mexico,5-2,2-0,0.006496082432044803,0
Mexico vs South Africa,2026-06-11T19:00:00Z,2026-06-11T00:01:00+00:00,conversation-02-mexico,5-3,2-0,0.001856023552012801,0
Mexico vs South Africa,2026-06-11T19:00:00Z,2026-06-11T00:01:00+00:00,conversation-02-mexico,5-4,2-0,0.0012992164864089606,0
Mexico vs South Africa,2026-06-11T19:00:00Z,2026-06-11T00:01:00+00:00,conversation-02-mexico,0-0,2-0,0.08382041847799745,0
Mexico vs South Africa,2026-06-11T19:00:00Z,2026-06-11T00:01:00+00:00,conversation-02-mexico,1-1,2-0,0.08960113699372142,0
Mexico vs South Africa,2026-06-11T19:00:00Z,2026-06-11T00:01:00+00:00,conversation-02-mexico,2-2,2-0,0.02824383666106436,0
Mexico vs South Africa,2026-06-11T19:00:00Z,2026-06-11T00:01:00+00:00,conversation-02-mexico,3-3,2-0,0.0072178693689386704,0
Mexico vs South Africa,2026-06-11T19:00:00Z,2026-06-11T00:01:00+00:00,conversation-02-mexico,4-4,2-0,0.001443573873787734,0
Mexico vs South Africa,2026-06-11T19:00:00Z,2026-06-11T00:01:00+00:00,conversation-02-mexico,0-1,2-0,0.0499698648618831,0
Mexico vs South Africa,2026-06-11T19:00:00Z,2026-06-11T00:01:00+00:00,conversation-02-mexico,0-2,2-0,0.017094953768538954,0
Mexico vs South Africa,2026-06-11T19:00:00Z,2026-06-11T00:01:00+00:00,conversation-02-mexico,1-2,2-0,0.02824383666106436,0
Mexico vs South Africa,2026-06-11T19:00:00Z,2026-06-11T00:01:00+00:00,conversation-02-mexico,0-3,2-0,0.006496082432044803,0
Mexico vs South Africa,2026-06-11T19:00:00Z,2026-06-11T00:01:00+00:00,conversation-02-mexico,1-3,2-0,0.00999397297237662,0
Mexico vs South Africa,2026-06-11T19:00:00Z,2026-06-11T00:01:00+00:00,conversation-02-mexico,2-3,2-0,0.00999397297237662,0
Mexico vs South Africa,2026-06-11T19:00:00Z,2026-06-11T00:01:00+00:00,conversation-02-mexico,0-4,2-0,0.001443573873787734,0
Mexico vs South Africa,2026-06-11T19:00:00Z,2026-06-11T00:01:00+00:00,conversation-02-mexico,1-4,2-0,0.002598432972817921,0
Mexico vs South Africa,2026-06-11T19:00:00Z,2026-06-11T00:01:00+00:00,conversation-02-mexico,2-4,2-0,0.0023622117934708376,0
Mexico vs South Africa,2026-06-11T19:00:00Z,2026-06-11T00:01:00+00:00,conversation-02-mexico,3-4,2-0,0.0016240206080112007,0
Mexico vs South Africa,2026-06-11T19:00:00Z,2026-06-11T00:01:00+00:00,conversation-02-mexico,0-5,2-0,0.0012992164864089606,0
Mexico vs South Africa,2026-06-11T19:00:00Z,2026-06-11T00:01:00+00:00,conversation-02-mexico,1-5,2-0,0.0012992164864089606,0
Mexico vs South Africa,2026-06-11T19:00:00Z,2026-06-11T00:01:00+00:00,conversation-02-mexico,2-5,2-0,0.0012992164864089606,0
Mexico vs South Africa,2026-06-11T19:00:00Z,2026-06-11T00:01:00+00:00,conversation-02-mexico,3-5,2-0,0.0012992164864089606,0
Mexico vs South Africa,2026-06-11T19:00:00Z,2026-06-11T00:01:00+00:00,conversation-02-mexico,4-5,2-0,0.0012992164864089606,0
South Korea vs Czech Republic,2026-06-12T02:00:00Z,2026-06-11T00:02:00+00:00,conversation-03-korea,1-0,2-1,0.09385027202006803,0
South Korea vs Czech Republic,2026-06-12T02:00:00Z,2026-06-11T00:02:00+00:00,conversation-03-korea,2-0,2-1,0.06334893361354593,0
South Korea vs Czech Republic,2026-06-12T02:00:00Z,2026-06-11T00:02:00+00:00,conversation-03-korea,2-1,2-1,0.07038770401505103,1
