match,commence_time,logged_at_utc,submission_id,outcome,actual_outcome,predicted_probability,hit
Mexico vs South Africa,2026-06-11T19:00:00Z,2026-06-11T00:01:00+00:00,conversation-02-mexico,home,home,0.6378892963426334,1
Mexico vs South Africa,2026-06-11T19:00:00Z,2026-06-11T00:01:00+00:00,conversation-02-mexico,draw,home,0.21032683537550967,0
Mexico vs South Africa,2026-06-11T19:00:00Z,2026-06-11T00:01:00+00:00,conversation-02-mexico,away,home,0.13631700534841698,0
South Korea vs Czech Republic,2026-06-12T02:00:00Z,2026-06-11T00:02:00+00:00,conversation-03-korea,home,home,0.3654818469533922,1
South Korea vs Czech Republic,2026-06-12T02:00:00Z,2026-06-11T00:02:00+00:00,conversation-03-korea,draw,home,0.29501950874842164,0
South Korea vs Czech Republic,2026-06-12T02:00:00Z,2026-06-11T00:02:00+00:00,conversation-03-korea,away,home,0.33283033549676033,0
Canada vs Bosnia & Herzegovina,2026-06-12T19:02:00Z,2026-06-11T00:03:00+00:00,conversation-04-canada,home,draw,0.5065856363145035,0
Canada vs Bosnia & Herzegovina,2026-06-12T19:02:00Z,2026-06-11T00:03:00+00:00,conversation-04-canada,draw,draw,0.254993050009617,1
Canada vs Bosnia & Herzegovina,2026-06-12T19:02:00Z,2026-06-11T00:03:00+00:00,conversation-04-canada,away,draw,0.22777825315446482,0
USA vs Paraguay,2026-06-13T01:02:00Z,2026-06-11T00:04:00+00:00,conversation-05-usa-paraguay,home,home,0.4833357130257758,1
USA vs Paraguay,2026-06-13T01:02:00Z,2026-06-11T00:04:00+00:00,conversation-05-usa-paraguay,draw,home,0.26111596216542093,0
USA vs Paraguay,2026-06-13T01:02:00Z,2026-06-11T00:04:00+00:00,conversation-05-usa-paraguay,away,home,0.24705213227971387,0
Qatar vs Switzerland,2026-06-13T19:04:00Z,2026-06-12T22:39:19+00:00,conversation-10-qatar-switzerland,home,draw,0.0943155641308643,0
Qatar vs Switzerland,2026-06-13T19:04:00Z,2026-06-12T22:39:19+00:00,conversation-10-qatar-switzerland,draw,draw,0.14844449404474697,1
Qatar vs Switzerland,2026-06-13T19:04:00Z,2026-06-12T22:39:19+00:00,conversation-10-qatar-switzerland,away,draw,0.7214715920256992,0
Brazil vs Morocco,2026-06-13T22:04:00Z,2026-06-12T22:27:34+00:00,conversation-06-brazil-morocco,home,draw,0.5500729744053344,0
Brazil vs Morocco,2026-06-13T22:04:00Z,2026-06-12T22:27:34+00:00,conversation-06-brazil-morocco,draw,draw,0.24478040934023332,1
Brazil vs Morocco,2026-06-13T22:04:00Z,2026-06-12T22:27:34+00:00,conversation-06-brazil-morocco,away,draw,0.19349258006920672,0
Haiti vs Scotland,2026-06-14T01:00:00Z,2026-06-12T22:29:41+00:00,conversation-07-haiti-scotland,home,away,0.18530626690831173,0
Haiti vs Scotland,2026-06-14T01:00:00Z,2026-06-12T22:29:41+00:00,conversation-07-haiti-scotland,draw,away,0.21117282801957385,0
Haiti vs Scotland,2026-06-14T01:00:00Z,2026-06-12T22:29:41+00:00,conversation-07-haiti-scotland,away,away,0.5883133559130873,1
Australia vs Turkey,2026-06-14T04:00:00Z,2026-06-12T22:32:50+00:00,conversation-08-australia-turkey,home,home,0.21042704137166457,1
Australia vs Turkey,2026-06-14T04:00:00Z,2026-06-12T22:32:50+00:00,conversation-08-australia-turkey,draw,home,0.24135241112534211,0
Australia vs Turkey,2026-06-14T04:00:00Z,2026-06-12T22:32:50+00:00,conversation-08-australia-turkey,away,home,0.5367009360490812,0
Germany vs Curaçao,2026-06-14T17:01:00Z,2026-06-12T22:37:24+00:00,conversation-09-germany-curacao,home,home,0.7237263517238797,1
Germany vs Curaçao,2026-06-14T17:01:00Z,2026-06-12T22:37:24+00:00,conversation-09-germany-curacao,draw,home,0.05541369487549179,0
Germany vs Curaçao,2026-06-14T17:01:00Z,2026-06-12T22:37:24+00:00,conversation-09-germany-curacao,away,home,0.03727042311890652,0
