bin,bin_low,bin_high,n,hits,avg_predicted_probability,observed_hit_rate,wilson_low,wilson_high
0-10,0.0,0.1,473,28,0.07467348157726467,0.05919661733615222,0.041270527459437864,0.08422497573923891
10-20,0.1,0.2,2561,382,0.16041439814037908,0.1491604841858649,0.13588897868921096,0.16348292056796387
20-30,0.2,0.3,9193,2334,0.2596289132605938,0.25388882845643423,0.24509590326755168,0.26288735160740645
30-40,0.3,0.4,4764,1631,0.341022833782857,0.3423593618807725,0.32901716947679344,0.35595557700133434
40-50,0.4,0.5,2913,1316,0.44619130785608885,0.45176793683487815,0.4337707704040447,0.46989214581300237
50-60,0.5,0.6,1721,978,0.5446832622013578,0.568274259151656,0.5447464477121534,0.5914979582871515
60-70,0.6,0.7,841,548,0.6446135334253297,0.6516052318668252,0.6187801334776429,0.6830516449437806
70-80,0.7,0.8,417,323,0.7444361112289997,0.7745803357314148,0.7320728336767096,0.8120750757087315
80-90,0.8,0.9,159,140,0.8353896409919085,0.8805031446540881,0.8209042159699036,0.9221498003493309
90-100,0.9,1.0,1,1,0.9248228860411009,1.0,0.20654931437723745,1.0
