division,sheet,date,match,outcome,actual_outcome,odds_source,devig_method,predicted_probability,hit
E0,E0,45520,Man United vs Fulham,H,H,closing_average,proportional,0.5794026799160191,1
E0,E0,45520,Man United vs Fulham,D,H,closing_average,proportional,0.22900201158585512,0
E0,E0,45520,Man United vs Fulham,A,H,closing_average,proportional,0.19159530849812584,0
E0,E0,45521,Ipswich vs Liverpool,H,A,closing_average,proportional,0.12218679070984706,0
E0,E0,45521,Ipswich vs Liverpool,D,A,closing_average,proportional,0.1655094738186741,0
E0,E0,45521,Ipswich vs Liverpool,A,A,closing_average,proportional,0.7123037354714787,1
E0,E0,45521,Arsenal vs Wolves,H,H,closing_average,proportional,0.8354836586160814,1
E0,E0,45521,Arsenal vs Wolves,D,H,closing_average,proportional,0.1114624370543496,0
E0,E0,45521,Arsenal vs Wolves,A,H,closing_average,proportional,0.05305390432956894,0
E0,E0,45521,Everton vs Brighton,H,A,closing_average,proportional,0.3139013452914798,0
E0,E0,45521,Everton vs Brighton,D,A,closing_average,proportional,0.2825112107623318,0
E0,E0,45521,Everton vs Brighton,A,A,closing_average,proportional,0.40358744394618834,1
E0,E0,45521,Newcastle vs Southampton,H,H,closing_average,proportional,0.6880471509410774,1
E0,E0,45521,Newcastle vs Southampton,D,H,closing_average,proportional,0.18147733203189706,0
E0,E0,45521,Newcastle vs Southampton,A,H,closing_average,proportional,0.1304755170270256,0
E0,E0,45521,Nott'm Forest vs Bournemouth,H,D,closing_average,proportional,0.4254116782228824,0
E0,E0,45521,Nott'm Forest vs Bournemouth,D,D,closing_average,proportional,0.2782489174422923,1
E0,E0,45521,Nott'm Forest vs Bournemouth,A,D,closing_average,proportional,0.29633940433482525,0
E0,E0,45521,West Ham vs Aston Villa,H,A,closing_average,proportional,0.38812414283537355,0
E0,E0,45521,West Ham vs Aston Villa,D,A,closing_average,proportional,0.2731243968100777,0
E0,E0,45521,West Ham vs Aston Villa,A,A,closing_average,proportional,0.3387514603545487,1
E0,E0,45522,Brentford vs Crystal Palace,H,H,closing_average,proportional,0.3382161945168171,1
E0,E0,45522,Brentford vs Crystal Palace,D,H,closing_average,proportional,0.29387687633321,0
E0,E0,45522,Brentford vs Crystal Palace,A,H,closing_average,proportional,0.3679069291499728,0
E0,E0,45522,Chelsea vs Man City,H,A,closing_average,proportional,0.26393751870749477,0
E0,E0,45522,Chelsea vs Man City,D,A,closing_average,proportional,0.25084401255751465,0
E0,E0,45522,Chelsea vs Man City,A,A,closing_average,proportional,0.4852184687349905,1
E0,E0,45523,Leicester vs Tottenham,H,D,closing_average,proportional,0.2103981779627739,0
