division,sheet,date,match,outcome,actual_outcome,odds_source,predicted_probability,hit
E0,E0,45884,Liverpool vs Bournemouth,H,H,closing_average,0.7337278106508877,1
E0,E0,45884,Liverpool vs Bournemouth,D,H,closing_average,0.15722738799661878,0
E0,E0,45884,Liverpool vs Bournemouth,A,H,closing_average,0.10904480135249367,0
E0,E0,45885,Aston Villa vs Newcastle,H,D,closing_average,0.3983692510117422,0
E0,E0,45885,Aston Villa vs Newcastle,D,D,closing_average,0.2780407089172863,1
E0,E0,45885,Aston Villa vs Newcastle,A,D,closing_average,0.3235900400709714,0
E0,E0,45885,Brighton vs Fulham,H,D,closing_average,0.5175113638639139,0
E0,E0,45885,Brighton vs Fulham,D,D,closing_average,0.26017741644806663,1
E0,E0,45885,Brighton vs Fulham,A,D,closing_average,0.2223112196880194,0
E0,E0,45885,Sunderland vs West Ham,H,H,closing_average,0.2790438371706344,1
E0,E0,45885,Sunderland vs West Ham,D,H,closing_average,0.2992899199937404,0
E0,E0,45885,Sunderland vs West Ham,A,H,closing_average,0.4216662428356253,0
E0,E0,45885,Tottenham vs Burnley,H,H,closing_average,0.6104420846606088,1
E0,E0,45885,Tottenham vs Burnley,D,H,closing_average,0.23595641676407572,0
E0,E0,45885,Tottenham vs Burnley,A,H,closing_average,0.15360149857531552,0
E0,E0,45885,Wolves vs Man City,H,A,closing_average,0.15204743790557168,0
E0,E0,45885,Wolves vs Man City,D,A,closing_average,0.21962407697471467,0
E0,E0,45885,Wolves vs Man City,A,A,closing_average,0.6283284851197136,1
E0,E0,45886,Chelsea vs Crystal Palace,H,D,closing_average,0.521790667351535,0
E0,E0,45886,Chelsea vs Crystal Palace,D,D,closing_average,0.25528468133865423,1
E0,E0,45886,Chelsea vs Crystal Palace,A,D,closing_average,0.22292465130981076,0
E0,E0,45886,Nott'm Forest vs Brentford,H,H,closing_average,0.4964338245497183,1
E0,E0,45886,Nott'm Forest vs Brentford,D,H,closing_average,0.27563622235173313,0
E0,E0,45886,Nott'm Forest vs Brentford,A,H,closing_average,0.22792995309854852,0
E0,E0,45886,Man United vs Arsenal,H,A,closing_average,0.2507488052474305,0
E0,E0,45886,Man United vs Arsenal,D,A,closing_average,0.2568481005102058,0
E0,E0,45886,Man United vs Arsenal,A,A,closing_average,0.4924030942423636,1
E0,E0,45887,Leeds vs Everton,H,H,closing_average,0.4049438309899639,1
E0,E0,45887,Leeds vs Everton,D,H,closing_average,0.29519269922632874,0
E0,E0,45887,Leeds vs Everton,A,H,closing_average,0.29986346978370737,0
E0,E0,45891,West Ham vs Chelsea,H,A,closing_average,0.19979687034367832,0
E0,E0,45891,West Ham vs Chelsea,D,A,closing_average,0.24843851678860526,0
E0,E0,45891,West Ham vs Chelsea,A,A,closing_average,0.5517646128677164,1
E0,E0,45892,Man City vs Tottenham,H,A,closing_average,0.6165201005025125,0
E0,E0,45892,Man City vs Tottenham,D,A,closing_average,0.2095896147403685,0
E0,E0,45892,Man City vs Tottenham,A,A,closing_average,0.1738902847571189,1
E0,E0,45892,Bournemouth vs Wolves,H,H,closing_average,0.5268842451279644,1
E0,E0,45892,Bournemouth vs Wolves,D,H,closing_average,0.2535806527353839,0
E0,E0,45892,Bournemouth vs Wolves,A,H,closing_average,0.21953510213665178,0
E0,E0,45892,Brentford vs Aston Villa,H,H,closing_average,0.2913027480295137,1
E0,E0,45892,Brentford vs Aston Villa,D,H,closing_average,0.27441563220171583,0
E0,E0,45892,Brentford vs Aston Villa,A,H,closing_average,0.4342816197687704,0
E0,E0,45892,Burnley vs Sunderland,H,H,closing_average,0.3992966394998325,1
E0,E0,45892,Burnley vs Sunderland,D,H,closing_average,0.30557106173942167,0
E0,E0,45892,Burnley vs Sunderland,A,H,closing_average,0.29513229876074576,0
E0,E0,45892,Arsenal vs Leeds,H,H,closing_average,0.7158688565734552,1
