bin,bin_low,bin_high,n,hits,avg_predicted_probability,observed_hit_rate,wilson_low,wilson_high
0-10,0.0,0.1,538,34,0.0725054153852122,0.06319702602230483,0.04557378836975723,0.08701381202733208
10-20,0.1,0.2,2687,426,0.15998882412332543,0.1585411239300335,0.14521959278179206,0.17283759190116618
20-30,0.2,0.3,9349,2416,0.25747711460708,0.25842336078725,0.2496500548993286,0.26739511047765935
30-40,0.3,0.4,4122,1400,0.34283294897868577,0.3396409509946628,0.32533868486372813,0.3542418290278861
40-50,0.4,0.5,2878,1307,0.44579647107147186,0.45413481584433635,0.43601776510755597,0.472374142021147
50-60,0.5,0.6,1775,934,0.5447509850929246,0.5261971830985915,0.5029370913398714,0.549344127730464
60-70,0.6,0.7,932,617,0.6440914401071148,0.6620171673819742,0.6310388007598839,0.691665432049557
70-80,0.7,0.8,469,345,0.7419211609485634,0.7356076759061834,0.6938974253240322,0.773489678487026
80-90,0.8,0.9,172,155,0.8370323550534068,0.9011627906976745,0.8474255227303822,0.9373723339611897
90-100,0.9,1.0,16,12,0.9145063708823357,0.75,0.5050168346449122,0.8981793250878696
