division,sheet,date,match,outcome,actual_outcome,odds_source,devig_method,predicted_probability,hit
E0,E0,45884,Liverpool vs Bournemouth,H,H,closing_average,power,0.7594534514500272,1
E0,E0,45884,Liverpool vs Bournemouth,D,H,closing_average,power,0.14374708845213763,0
E0,E0,45884,Liverpool vs Bournemouth,A,H,closing_average,power,0.09679946009783541,0
E0,E0,45885,Aston Villa vs Newcastle,H,D,closing_average,power,0.4018061699810759,0
E0,E0,45885,Aston Villa vs Newcastle,D,D,closing_average,power,0.2752902076316785,1
E0,E0,45885,Aston Villa vs Newcastle,A,D,closing_average,power,0.322903622387246,0
E0,E0,45885,Brighton vs Fulham,H,D,closing_average,power,0.5281791287550229,0
E0,E0,45885,Brighton vs Fulham,D,D,closing_average,power,0.2554620542562091,1
E0,E0,45885,Brighton vs Fulham,A,D,closing_average,power,0.21635881698876783,0
E0,E0,45885,Sunderland vs West Ham,H,H,closing_average,power,0.2762590034929295,1
E0,E0,45885,Sunderland vs West Ham,D,H,closing_average,power,0.29736727761633563,0
E0,E0,45885,Sunderland vs West Ham,A,H,closing_average,power,0.42637371889073516,0
E0,E0,45885,Tottenham vs Burnley,H,H,closing_average,power,0.6273199443530082,1
E0,E0,45885,Tottenham vs Burnley,D,H,closing_average,power,0.22817118370274117,0
E0,E0,45885,Tottenham vs Burnley,A,H,closing_average,power,0.14450887194425058,0
E0,E0,45885,Wolves vs Man City,H,A,closing_average,power,0.14305577380796322,0
E0,E0,45885,Wolves vs Man City,D,A,closing_average,power,0.21140215402467546,0
E0,E0,45885,Wolves vs Man City,A,A,closing_average,power,0.6455420721673615,1
E0,E0,45886,Chelsea vs Crystal Palace,H,D,closing_average,power,0.5321504652366594,0
E0,E0,45886,Chelsea vs Crystal Palace,D,D,closing_average,power,0.25059715048629155,1
E0,E0,45886,Chelsea vs Crystal Palace,A,D,closing_average,power,0.21725238427704932,0
E0,E0,45886,Nott'm Forest vs Brentford,H,H,closing_average,power,0.505550349267775,1
E0,E0,45886,Nott'm Forest vs Brentford,D,H,closing_average,power,0.2719048579429274,0
E0,E0,45886,Nott'm Forest vs Brentford,A,H,closing_average,power,0.22254479278929765,0
E0,E0,45886,Man United vs Arsenal,H,A,closing_average,power,0.24638873003436318,0
E0,E0,45886,Man United vs Arsenal,D,A,closing_average,power,0.25269390904638644,0
E0,E0,45886,Man United vs Arsenal,A,A,closing_average,power,0.5009173609192504,1
E0,E0,45887,Leeds vs Everton,H,H,closing_average,power,0.4088217887865711,1
E0,E0,45887,Leeds vs Everton,D,H,closing_average,power,0.2931479769361077,0
E0,E0,45887,Leeds vs Everton,A,H,closing_average,power,0.29803023427732117,0
E0,E0,45891,West Ham vs Chelsea,H,A,closing_average,power,0.1930027792204375,0
E0,E0,45891,West Ham vs Chelsea,D,A,closing_average,power,0.24292479524002286,0
E0,E0,45891,West Ham vs Chelsea,A,A,closing_average,power,0.5640724255395398,1
E0,E0,45892,Man City vs Tottenham,H,A,closing_average,power,0.6328138675427993,0
E0,E0,45892,Man City vs Tottenham,D,A,closing_average,power,0.20169896978658375,0
E0,E0,45892,Man City vs Tottenham,A,A,closing_average,power,0.16548716267061703,1
E0,E0,45892,Bournemouth vs Wolves,H,H,closing_average,power,0.537838682406978,1
E0,E0,45892,Bournemouth vs Wolves,D,H,closing_average,power,0.24862274272760385,0
E0,E0,45892,Bournemouth vs Wolves,A,H,closing_average,power,0.21353857486541808,0
E0,E0,45892,Brentford vs Aston Villa,H,H,closing_average,power,0.2888402332753692,1
E0,E0,45892,Brentford vs Aston Villa,D,H,closing_average,power,0.27122560258986494,0
E0,E0,45892,Brentford vs Aston Villa,A,H,closing_average,power,0.43993416413476605,0
E0,E0,45892,Burnley vs Sunderland,H,H,closing_average,power,0.4026533045865471,1
E0,E0,45892,Burnley vs Sunderland,D,H,closing_average,power,0.30411837377103546,0
E0,E0,45892,Burnley vs Sunderland,A,H,closing_average,power,0.29322832164241736,0
E0,E0,45892,Arsenal vs Leeds,H,H,closing_average,power,0.7373633596825232,1
E0,E0,45892,Arsenal vs Leeds,D,H,closing_average,power,0.16633655190227442,0
E0,E0,45892,Arsenal vs Leeds,A,H,closing_average,power,0.09630008841520263,0
E0,E0,45893,Crystal Palace vs Nott'm Forest,H,D,closing_average,power,0.4003644279126882,0
E0,E0,45893,Crystal Palace vs Nott'm Forest,D,D,closing_average,power,0.29081837406546834,1
E0,E0,45893,Crystal Palace vs Nott'm Forest,A,D,closing_average,power,0.3088171980218436,0
E0,E0,45893,Everton vs Brighton,H,H,closing_average,power,0.3261169618466866,1
E0,E0,45893,Everton vs Brighton,D,H,closing_average,power,0.2810673487712524,0
E0,E0,45893,Everton vs Brighton,A,H,closing_average,power,0.3928156893820609,0
E0,E0,45893,Fulham vs Man United,H,D,closing_average,power,0.2712868115636682,0
E0,E0,45893,Fulham vs Man United,D,D,closing_average,power,0.2664037565623295,1
E0,E0,45893,Fulham vs Man United,A,D,closing_average,power,0.4623094318740022,0
E0,E0,45894,Newcastle vs Liverpool,H,A,closing_average,power,0.32447831916839864,0
E0,E0,45894,Newcastle vs Liverpool,D,A,closing_average,power,0.2566825637760491,0
E0,E0,45894,Newcastle vs Liverpool,A,A,closing_average,power,0.41883911705555216,1
E0,E0,45899,Chelsea vs Fulham,H,H,closing_average,power,0.5821305197812058,1
E0,E0,45899,Chelsea vs Fulham,D,H,closing_average,power,0.2359821492894197,0
E0,E0,45899,Chelsea vs Fulham,A,H,closing_average,power,0.18188733092937487,0
E0,E0,45899,Man United vs Burnley,H,H,closing_average,power,0.7087668238351923,1
E0,E0,45899,Man United vs Burnley,D,H,closing_average,power,0.17678071178394242,0
E0,E0,45899,Man United vs Burnley,A,H,closing_average,power,0.1144524643808655,0
E0,E0,45899,Sunderland vs Brentford,H,H,closing_average,power,0.3039534218615979,1
E0,E0,45899,Sunderland vs Brentford,D,H,closing_average,power,0.2892054878520488,0
E0,E0,45899,Sunderland vs Brentford,A,H,closing_average,power,0.4068410902863533,0
E0,E0,45899,Tottenham vs Bournemouth,H,A,closing_average,power,0.5106614620253247,0
E0,E0,45899,Tottenham vs Bournemouth,D,A,closing_average,power,0.24773213188605792,0
E0,E0,45899,Tottenham vs Bournemouth,A,A,closing_average,power,0.24160640608861728,1
E0,E0,45899,Wolves vs Everton,H,A,closing_average,power,0.2828184463138658,0
E0,E0,45899,Wolves vs Everton,D,A,closing_average,power,0.30385861520067226,0
E0,E0,45899,Wolves vs Everton,A,A,closing_average,power,0.413322938485462,1
E0,E0,45899,Leeds vs Newcastle,H,D,closing_average,power,0.25412733998825515,0
E0,E0,45899,Leeds vs Newcastle,D,D,closing_average,power,0.27889042839545175,1
E0,E0,45899,Leeds vs Newcastle,A,D,closing_average,power,0.4669822316162931,0
E0,E0,45900,Brighton vs Man City,H,H,closing_average,power,0.2695250290812532,1
E0,E0,45900,Brighton vs Man City,D,H,closing_average,power,0.2562769806934381,0
E0,E0,45900,Brighton vs Man City,A,H,closing_average,power,0.4741979902253087,0
E0,E0,45900,Nott'm Forest vs West Ham,H,A,closing_average,power,0.5881463598346894,0
