bin,bin_low_pct,bin_high_pct,n,hits,avg_predicted_pct,observed_hit_rate_pct,wilson_low_pct,wilson_high_pct
0-0.5,0.0,0.5,1202,3,0.0005690515806988354,0.24958402662229617,0.08491660293118712,0.7312320498377277
0.5-1.5,0.5,1.5,639,12,0.9984164319248827,1.8779342723004695,1.0774620332163733,3.2535372261919813
1.5-2.5,1.5,2.5,230,8,1.99898,3.4782608695652173,1.7728315594474735,6.712173161596557
2.5-3.5,2.5,3.5,127,5,3.0,3.937007874015748,1.6931797475218995,8.885622220486223
3.5-5,3.5,5.0,104,5,4.0,4.8076923076923075,2.0708042325852225,10.764202797232548
5-7.5,5.0,7.5,202,13,5.9847727722772275,6.435643564356436,3.7992485043253934,10.698053930112096
7.5-10,7.5,10.0,77,8,8.482776623376624,10.38961038961039,5.359292364758093,19.18437509268149
10-12.5,10.0,12.5,78,6,10.961538461538462,7.6923076923076925,3.573046400235581,15.783229806180863
12.5-15,12.5,15.0,32,5,13.496840625,15.625,6.8644202825057095,31.75414959753039
15-20,15.0,20.0,64,9,16.978003125,14.0625,7.57857255603086,24.616281741577023
20-25,20.0,25.0,37,4,21.945945945945947,10.81081081081081,4.285189940411474,24.708531544126025
25-30,25.0,30.0,20,1,26.75,5.0,0.8881448800795402,23.613119344674203
30-40,30.0,40.0,8,0,32.75,0.0,0.0,32.440756488388026
40-50,40.0,50.0,1,0,44.0,0.0,0.0,79.34506856227625
50-100,50.0,100.0,2,1,63.0,50.0,9.453120573423075,90.54687942657694
