match,commence_time,logged_at_utc,submission_id,score,actual_score,displayed_probability_pct,hit
Mexico vs South Africa,2026-06-11T19:00:00Z,2026-06-11T00:01:00+00:00,conversation-02-mexico,1-0,2-0,10.0,0
Mexico vs South Africa,2026-06-11T19:00:00Z,2026-06-11T00:01:00+00:00,conversation-02-mexico,2-0,2-0,26.0,1
Mexico vs South Africa,2026-06-11T19:00:00Z,2026-06-11T00:01:00+00:00,conversation-02-mexico,2-1,2-0,25.0,0
Mexico vs South Africa,2026-06-11T19:00:00Z,2026-06-11T00:01:00+00:00,conversation-02-mexico,3-0,2-0,6.0,0
Mexico vs South Africa,2026-06-11T19:00:00Z,2026-06-11T00:01:00+00:00,conversation-02-mexico,3-1,2-0,9.0,0
Mexico vs South Africa,2026-06-11T19:00:00Z,2026-06-11T00:01:00+00:00,conversation-02-mexico,3-2,2-0,3.0,0
Mexico vs South Africa,2026-06-11T19:00:00Z,2026-06-11T00:01:00+00:00,conversation-02-mexico,4-0,2-0,7.0,0
Mexico vs South Africa,2026-06-11T19:00:00Z,2026-06-11T00:01:00+00:00,conversation-02-mexico,4-1,2-0,2.0,0
Mexico vs South Africa,2026-06-11T19:00:00Z,2026-06-11T00:01:00+00:00,conversation-02-mexico,4-2,2-0,0.0,0
Mexico vs South Africa,2026-06-11T19:00:00Z,2026-06-11T00:01:00+00:00,conversation-02-mexico,4-3,2-0,0.0,0
Mexico vs South Africa,2026-06-11T19:00:00Z,2026-06-11T00:01:00+00:00,conversation-02-mexico,5-0,2-0,7.0,0
Mexico vs South Africa,2026-06-11T19:00:00Z,2026-06-11T00:01:00+00:00,conversation-02-mexico,5-1,2-0,0.0,0
Mexico vs South Africa,2026-06-11T19:00:00Z,2026-06-11T00:01:00+00:00,conversation-02-mexico,5-2,2-0,0.0,0
Mexico vs South Africa,2026-06-11T19:00:00Z,2026-06-11T00:01:00+00:00,conversation-02-mexico,5-3,2-0,0.0,0
Mexico vs South Africa,2026-06-11T19:00:00Z,2026-06-11T00:01:00+00:00,conversation-02-mexico,5-4,2-0,0.0,0
Mexico vs South Africa,2026-06-11T19:00:00Z,2026-06-11T00:01:00+00:00,conversation-02-mexico,0-0,2-0,3.0,0
Mexico vs South Africa,2026-06-11T19:00:00Z,2026-06-11T00:01:00+00:00,conversation-02-mexico,1-1,2-0,7.0,0
Mexico vs South Africa,2026-06-11T19:00:00Z,2026-06-11T00:01:00+00:00,conversation-02-mexico,2-2,2-0,2.0,0
Mexico vs South Africa,2026-06-11T19:00:00Z,2026-06-11T00:01:00+00:00,conversation-02-mexico,3-3,2-0,0.0,0
