bin,bin_low_pct,bin_high_pct,n,hits,avg_predicted_pct,observed_hit_rate_pct,wilson_low_pct,wilson_high_pct
0-10,0,10,86,11,3.9767441860465116,12.790697674418604,7.294621791742709,21.468778936498577
10-20,10,20,36,6,13.5,16.666666666666668,7.870447595018113,31.890794311279464
20-30,20,30,25,5,22.96,20.0,8.860584686802571,39.13095036954033
30-40,30,40,20,7,32.9,35.0,18.11918241010821,56.71457233147636
40-50,40,50,11,4,44.18181818181818,36.36363636363637,15.166471095367573,64.6198825492151
50-60,50,60,8,5,56.875,62.5,30.574239460262735,86.31557141764026
60-70,60,70,11,8,63.81818181818182,72.72727272727273,43.43546988238708,90.2539407099751
70-80,70,80,11,8,72.9090909090909,72.72727272727273,43.43546988238708,90.2539407099751
80-90,80,90,21,15,84.85714285714286,71.42857142857143,50.04361928391441,86.18613704787788
90-100,90,100,17,13,94.47058823529412,76.47058823529412,52.73820188043501,90.44495567791988
