bin,bin_low,bin_high,n,hits,hit_rate,wilson_low,wilson_high
0-20,0,20,2,1,0.5,0.09452865480086614,0.9054713451991339
20-40,20,40,9,6,0.6666666666666666,0.35419734749908977,0.879418401317257
40-60,40,60,12,8,0.6666666666666666,0.3906175873976139,0.8618821601026385
60-80,60,80,16,10,0.625,0.3864064709793481,0.815190174452472
80-100,80,100,7,3,0.42857142857142855,0.15821692226262685,0.7495457695909742
100-120,100,120,27,6,0.2222222222222222,0.10607095489408958,0.4075729546307081
120-140,120,140,27,6,0.2222222222222222,0.10607095489408958,0.4075729546307081
140-160,140,160,16,3,0.1875,0.06591478773586765,0.4300935986845823
160-180,160,180,12,1,0.08333333333333333,0.014864709450773478,0.35388592179859524
180-200,180,200,2,0,0.0,0,0.6576280471103807
200-220,200,220,1,0,0.0,0,0.7934567085261071
220-240,220,240,1,0,0.0,0,0.7934567085261071
