games_played,population_mean_points,population_p10_points,population_median_points,population_p90_points,optimal_mean_points,optimal_p10_points,optimal_median_points,optimal_p90_points,optimal_mean_edge,optimal_ahead_probability,tie_probability
1,33.8277,0.0,49.0,79.0,37.2016,0.0,49.0,79.0,3.3739,0.2125,0.7035
2,68.4204,0.0,49.0,156.0,74.5078,0.0,49.0,145.0,6.0874,0.3686,0.361
3,103.3858,0.0,96.0,210.0,112.9873,0.0,114.0,210.0,9.6015,0.4468,0.2208
4,140.9946,49.0,127.0,264.0,153.8001,49.0,145.0,268.0,12.8055,0.4913,0.1412
5,169.3061,49.0,158.0,297.0,184.5927,82.0,178.0,301.0,15.2866,0.523,0.1072
6,201.7678,82.0,195.0,343.0,222.1117,104.0,221.0,340.0,20.3439,0.5551,0.0566
7,234.4248,95.0,226.5,381.0,257.1007,134.0,253.0,381.0,22.6759,0.5653,0.0443
8,270.5859,126.0,263.0,428.0,296.7673,164.0,295.0,433.0,26.1814,0.5779,0.0318
9,288.0765,142.0,280.0,447.10000000000036,315.7548,183.0,312.0,453.0,27.6783,0.5826,0.0278
10,324.554,166.0,317.0,493.0,355.3108,213.0,352.0,503.0,30.7568,0.5909,0.0187
11,358.5634,187.0,352.0,539.0,391.7633,237.0,387.0,553.0,33.1999,0.5873,0.0099
12,394.992,212.9000000000001,388.0,585.0,431.0217,266.0,427.0,600.0,36.0297,0.5894,0.0068
13,413.3278,229.0,406.0,604.0,452.4325,284.0,448.0,623.0,39.1047,0.5948,0.0059
14,447.9082,259.0,440.0,645.0,490.5977,317.0,489.0,670.0,42.6895,0.5984,0.0053
15,482.4995,288.0,475.0,687.0,528.7977,352.0,526.0,713.0,46.2982,0.6038,0.0048
16,515.6011,310.0,507.0,733.0,565.3979,380.0,563.0,754.0,49.7968,0.6117,0.0038
17,549.1617,341.0,541.0,768.0,600.8257,412.0,599.0,792.0,51.664,0.6131,0.0037
18,576.4541,367.9000000000001,568.0,797.0,629.6957,439.0,627.0,823.0,53.2416,0.6136,0.0031
19,607.5659,394.0,600.0,834.0,663.061,469.0,660.0,859.0,55.4951,0.617,0.0029
20,638.3295,423.0,631.0,866.0,697.6374,501.0,696.0,897.0,59.3079,0.622,0.0035
21,667.7661,449.0,660.0,896.0,729.1668,529.0,729.0,931.0,61.4007,0.6265,0.0028
22,701.4683,474.0,695.0,939.0,766.8601,558.0,765.0,973.0,65.3918,0.6297,0.0021
23,736.8036,502.0,729.0,981.0,806.1837,590.0,807.0,1020.0,69.3801,0.6306,0.0021
24,770.6521,534.0,762.0,1019.1000000000004,841.6021,625.0,842.0,1059.0,70.95,0.6347,0.0016
