score_bucket,actual_2022_group,model_2026_poisson,model_2026_calibrated,model_2022_h2h_poisson,calibrated_minus_poisson,calibrated_minus_actual
0-0,0.12499999999999999,0.06829971611282003,0.07573099700864046,0.09884503006022143,0.00743128089582043,-0.04926900299135953
0-1,0.0625,0.08367400079727925,0.07273843127518767,0.10289682285116317,-0.010935569522091584,0.01023843127518767
0-2,0.12499999999999999,0.05977406661907959,0.07986086244815488,0.06400444074131814,0.020086795829075292,-0.04513913755184511
0-3,0.020833333333333332,0.03279678336382528,0.028921170763559514,0.03118500599045646,-0.0038756126002657647,0.008087837430226182
0-4,0.0,0.015146578574734336,0.01055399130128328,0.01310683613109697,-0.004592587273451056,0.01055399130128328
1-0,0.12499999999999999,0.09645486307621574,0.0998504304873951,0.12060816651346593,0.0033955674111793566,-0.025149569512604886
1-1,0.0625,0.10251427203702429,0.08871660218243889,0.10793171806906558,-0.013797669854585401,0.02621660218243889
1-2,0.10416666666666666,0.06307480482289989,0.08136555238737254,0.05788184412192546,0.01829074756447266,-0.022801114279294113
1-3,0.020833333333333332,0.030112703886644686,0.028464306805834366,0.02485211280549316,-0.0016483970808103196,0.007630973472501034
1-4,0.0,0.012390936832914775,0.008654590975216965,0.009450399934038348,-0.0037363458576978106,0.008654590975216965
2-0,0.10416666666666666,0.0778421894347098,0.08639515928941391,0.08510583702350609,0.008552969854704107,-0.01777150737725275
2-1,0.0625,0.07299260042275237,0.07312460443163721,0.06629811406594174,0.00013200400888484232,0.010624604431637208
2-2,0.0,0.038991037379622936,0.027705041958256495,0.03043143724378565,-0.011285995421366442,0.027705041958256495
2-3,0.041666666666666664,0.01605730823476595,0.021851488517339757,0.011227773661855227,0.005794180282573808,-0.019815178149326908
2-4,0.020833333333333332,0.005760162457940383,0.007792396613364353,0.003752468884581349,0.0020322341554239705,-0.01304093671996898
3-0,0.0,0.047240885406493474,0.03425204227053117,0.04567182051284007,-0.012988843135962304,0.03425204227053117
3-1,0.0,0.039650587226205763,0.02857092200654377,0.031674121664478444,-0.011079665219661992,0.02857092200654377
3-2,0.020833333333333332,0.018681240417924783,0.023474477814421635,0.012594821888503879,0.0047932373964968515,0.0026411444810883027
3-3,0.020833333333333332,0.006683613429523276,0.00916046480338542,0.003953034867115557,0.0024768513738621448,-0.011672868529947911
3-4,0.0,0.0020713649490164848,0.001461845878979872,0.0011294910198935842,-0.0006095190700366128,0.001461845878979872
4-0,0.0,0.02412279268240262,0.017593842236154372,0.020622994690486486,-0.006528950446248249,0.017593842236154372
4-1,0.041666666666666664,0.018275809333778262,0.025561828315789865,0.013044837104468836,0.007286018982011602,-0.0161048383508768
4-2,0.0,0.007695940866829878,0.005546856911032483,0.004607957086083048,-0.0021490839557973948,0.005546856911032483
4-3,0.0,0.0024271606041740795,0.0017376490214122116,0.0012448816101412613,-0.0006895115827618679,0.0017376490214122116
4-4,0.0,0.0006538337390441545,0.00046477160793470713,0.00030014279096869385,-0.00018906213110944734,0.00046477160793470713
other,0.041666666666666664,0.05661474729137802,0.06044967268871917,0.03757788866710539,0.003834925397341149,0.018783006022052504
