commence_time,match,selected_score,actual_score,outcome_correct,exact_score_correct,base_points,exact_bonus_points,realized_points,expected_points,realized_minus_expected
2026-06-11T19:00:00Z,Mexico vs South Africa,1-0,2-0,True,False,49.0,0.0,49.0,39.56202976198428,9.437970238015723
2026-06-12T02:00:00Z,Korea vs Czech Republic,2-0,2-1,True,False,96.0,0.0,96.0,37.60452098119847,58.39547901880153
2026-06-12T19:02:00Z,Canada vs Bosnia,1-0,1-1,False,False,0.0,0.0,0.0,39.322394102353734,-39.322394102353734
2026-06-13T01:02:00Z,USA vs Paraguay,2-0,4-1,True,False,74.0,0.0,74.0,39.9813064015737,34.0186935984263
2026-06-13T19:04:00Z,Qatar vs Switzerland,0-1,1-1,False,False,0.0,0.0,0.0,32.78069429635359,-32.78069429635359
2026-06-13T22:04:00Z,Brazil vs Morocco,1-0,1-1,False,False,0.0,0.0,0.0,38.526171580031686,-38.526171580031686
2026-06-14T01:00:00Z,Haiti vs Scotland,0-1,0-1,True,True,44.0,50.0,94.0,34.61719049619253,59.38280950380747
2026-06-14T04:00:00Z,Australia vs Turkey,0-1,2-0,False,False,0.0,0.0,0.0,40.621243040707384,-40.621243040707384
2026-06-14T17:01:00Z,Germany vs Curacao,3-0,7-1,True,False,15.0,0.0,15.0,20.030627350587828,-5.030627350587828
2026-06-14T20:00:00Z,Netherlands vs Japan,1-0,2-2,False,False,0.0,0.0,0.0,40.096946755663744,-40.096946755663744
2026-06-14T23:03:00Z,Ivory Coast vs Ecuador,0-1,1-0,False,False,0.0,0.0,0.0,38.34770101841604,-38.34770101841604
2026-06-15T02:00:00Z,Sweden vs Tunisia,2-1,5-1,True,False,72.0,0.0,72.0,39.041071781516884,32.958928218483116
2026-06-15T16:01:00Z,Spain vs Cabo Verde,2-0,0-0,False,False,0.0,0.0,0.0,20.190586769871466,-20.190586769871466
2026-06-15T19:00:00Z,Belgium vs Egypt,1-0,1-1,False,False,0.0,0.0,0.0,38.45170022426491,-38.45170022426491
2026-06-15T22:03:00Z,Saudi Arabia vs Uruguay,0-1,1-1,False,False,0.0,0.0,0.0,38.49206140492406,-38.49206140492406
2026-06-16T01:03:00Z,Iran vs New Zealand,1-1,2-2,True,False,116.0,0.0,116.0,37.509772425567355,78.49022757443265
2026-06-16T19:02:00Z,France vs Senegal,1-0,3-1,True,False,46.0,0.0,46.0,37.386789937167556,8.613210062832444
2026-06-16T22:00:00Z,Iraq vs Norway,0-2,1-4,True,False,30.0,0.0,30.0,28.912589378308358,1.0874106216916424
2026-06-17T01:02:00Z,Argentina vs Algeria,1-0,3-0,True,False,43.0,0.0,43.0,34.975620381378924,8.024379618621076
2026-06-17T04:02:00Z,Austria vs Jordan,1-0,3-1,True,False,38.0,0.0,38.0,32.976542269406565,5.023457730593435
2026-06-17T17:01:00Z,Portugal vs RD Congo,1-0,1-1,False,False,0.0,0.0,0.0,32.29787409898813,-32.29787409898813
2026-06-17T20:00:00Z,England vs Croatia,1-0,4-2,True,False,59.0,0.0,59.0,37.893833359413215,21.106166640586785
2026-06-17T23:00:00Z,Ghana vs Panama,1-0,1-0,True,True,73.0,20.0,93.0,36.940460986276314,56.059539013723686
2026-06-18T02:00:00Z,Uzbekistan vs Colombia,0-1,1-3,True,False,44.0,0.0,44.0,35.89141683741546,8.108583162584537
2026-06-18T16:00:00Z,Czechia vs South Africa,1-0,1-1,False,False,0.0,0.0,0.0,37.99550344706801,-37.99550344706801
2026-06-18T19:00:00Z,Switzerland vs Bosnia-Herzegovina,1-0,4-1,True,False,76.0,0.0,76.0,52.58753066133279,23.412469338667208
2026-06-18T22:00:00Z,Canada vs Qatar,1-0,6-0,True,False,71.0,0.0,71.0,58.7547393578182,12.245260642181798
2026-06-19T01:00:00Z,Mexico vs South Korea,0-0,1-0,False,False,0.0,0.0,0.0,38.85591131609454,-38.85591131609454
2026-06-19T19:00:00Z,United States vs Australia,1-0,2-0,True,False,58.0,0.0,58.0,39.998140401346745,18.001859598653255
2026-06-19T22:00:00Z,Scotland vs Morocco,0-1,0-1,True,True,91.0,50.0,141.0,56.660093002805354,84.33990699719465
2026-06-20T00:32:00Z,Brazil vs Haiti,2-0,3-0,True,False,21.0,0.0,21.0,23.5693125460025,-2.5693125460025
2026-06-20T03:00:00Z,Turkey vs Paraguay,1-0,0-1,False,False,0.0,0.0,0.0,44.842956894105264,-44.842956894105264
2026-06-20T17:00:00Z,Netherlands vs Sweden,3-0,5-1,True,False,67.0,0.0,67.0,41.26169896529925,25.738301034700747
2026-06-20T20:00:00Z,Germany vs Ivory Coast,0-0,2-1,False,False,0.0,0.0,0.0,31.697468638282558,-31.697468638282558
2026-06-21T00:00:00Z,Ecuador vs Curacao,4-0,0-0,False,False,0.0,0.0,0.0,40.55626777844269,-40.55626777844269
2026-06-21T04:00:00Z,Tunisia vs Japan,0-1,0-4,True,False,91.0,0.0,91.0,63.35894370528301,27.64105629471699
2026-06-21T16:00:00Z,Spain vs Saudi Arabia,2-0,4-0,True,False,31.0,0.0,31.0,32.5661006046657,-1.5661006046656993
2026-06-21T19:00:00Z,Belgium vs Iran,1-0,0-0,False,False,0.0,0.0,0.0,33.10339056322292,-33.10339056322292
2026-06-21T22:00:00Z,Uruguay vs Cabo Verde,1-0,2-2,False,False,0.0,0.0,0.0,53.13170357943302,-53.13170357943302
2026-06-22T01:00:00Z,New Zealand vs Egypt,0-1,1-3,True,False,59.0,0.0,59.0,40.93213430619753,18.067865693802467
2026-06-22T17:00:00Z,Argentina vs Austria,1-0,2-0,True,False,63.0,0.0,63.0,44.36598338461928,18.634016615380723
2026-06-22T21:00:00Z,France vs Iraq,1-0,3-0,True,False,22.0,0.0,22.0,25.361113959603372,-3.3611139596033723
2026-06-23T00:00:00Z,Norway vs Senegal,0-1,3-2,False,False,0.0,0.0,0.0,46.60807006637924,-46.60807006637924
2026-06-23T03:00:00Z,Jordan vs Algeria,0-1,1-2,True,False,67.0,0.0,67.0,45.69458464719886,21.30541535280114
2026-06-23T17:00:00Z,Portugal vs Uzbekistan,1-0,5-0,True,False,24.0,0.0,24.0,26.046396104094857,-2.046396104094857
2026-06-23T20:00:00Z,England vs Ghana,1-0,0-0,False,False,0.0,0.0,0.0,42.13689192079673,-42.13689192079673
2026-06-23T23:00:00Z,Panama vs Croatia,1-1,0-1,False,False,0.0,0.0,0.0,30.516181046437925,-30.516181046437925
2026-06-24T02:00:00Z,Colombia vs DR Congo,1-0,1-0,True,True,77.0,50.0,127.0,55.745339923118316,71.25466007688169
2026-06-24T19:00:00Z,Bosnia vs Qatar,1-0,3-1,True,False,87.0,0.0,87.0,64.73888468246425,22.261115317535754
2026-06-24T19:00:00Z,Switzerland vs Canada,0-1,2-1,False,False,0.0,0.0,0.0,41.05339282282292,-41.05339282282292
2026-06-24T22:00:00Z,Morocco vs Haiti,3-1,4-2,True,False,29.0,0.0,29.0,28.37680204790736,0.6231979520926387
2026-06-24T22:01:00Z,Scotland vs Brazil,0-1,0-3,True,False,48.0,0.0,48.0,40.9123227688709,7.087677231129099
2026-06-25T01:00:00Z,Czech Republic vs Mexico,0-2,0-3,True,False,91.0,0.0,91.0,49.119969070940684,41.880030929059316
2026-06-25T01:00:00Z,South Africa vs South Korea,0-1,1-0,False,False,0.0,0.0,0.0,56.39847993233744,-56.39847993233744
2026-06-25T20:00:00Z,Curacao vs Ivory Coast,0-4,0-2,True,False,53.0,0.0,53.0,48.456276113637465,4.543723886362535
2026-06-25T20:00:00Z,Ecuador vs Germany,3-2,2-1,True,False,145.0,0.0,145.0,34.96226707000016,110.03773292999983
2026-06-25T23:00:00Z,Japan vs Sweden,1-0,1-1,False,False,0.0,0.0,0.0,53.53893674260426,-53.53893674260426
2026-06-25T23:00:00Z,Tunisia vs Netherlands,0-2,1-3,True,False,56.0,0.0,56.0,54.909440641642064,1.090559358357936
2026-06-26T02:00:00Z,Paraguay vs Australia,1-1,0-0,True,False,104.0,0.0,104.0,49.172915176249724,54.827084823750276
2026-06-26T02:00:00Z,Turkey vs United States,0-1,3-2,False,False,0.0,0.0,0.0,50.353988308389354,-50.353988308389354
