logged_at_utc,submission_id,match,proportional_score,proportional_outcome,proportional_exact_score_probability,proportional_expected_points,power_score,power_outcome,power_exact_score_probability,power_expected_points,pick_changed,expected_points_delta_power_minus_proportional
2026-06-11T00:00:00+00:00,conversation-01-mexico,Mexico vs South Africa,1-0,home,0.13821451983074048,39.56202976198428,1-0,home,0.16013733101995725,40.658170328614425,False,1.0961405666301474
2026-06-11T00:01:00+00:00,conversation-02-mexico,Mexico vs South Africa,1-0,home,0.13821451983074048,39.56202976198428,1-0,home,0.16013733101995725,40.658170328614425,False,1.0961405666301474
2026-06-11T00:02:00+00:00,conversation-03-korea,Korea vs Czech Republic,2-0,home,0.06334893361354593,37.60452098119847,2-0,home,0.06520362452045454,37.697255526339575,False,0.09273454514110568
2026-06-11T00:03:00+00:00,conversation-04-canada,Canada vs Bosnia,1-0,home,0.11403279130087114,39.322394102353734,1-0,home,0.13031968894679033,40.094783495585105,False,0.7723893932313715
2026-06-11T00:04:00+00:00,conversation-05-usa-paraguay,USA vs Paraguay,2-0,home,0.09103063424024366,39.9813064015737,2-0,home,0.09944812596011628,40.40216991394529,False,0.42086351237159647
2026-06-12T22:27:34+00:00,conversation-06-brazil-morocco,Brazil vs Morocco,1-0,home,0.11654036185225629,38.526171580031686,1-0,home,0.13336117298762454,39.36721212854137,False,0.8410405485096817
2026-06-12T22:29:41+00:00,conversation-07-haiti-scotland,Haiti vs Scotland,0-1,away,0.11205562538230462,34.61719049619253,0-1,away,0.12819813604452013,35.42432296550688,False,0.8071324693143538
2026-06-12T22:32:50+00:00,conversation-08-australia-turkey,Australia vs Turkey,0-1,away,0.10923769482158098,40.621243040707384,0-1,away,0.12463505799617718,41.39111119945703,False,0.7698681587496452
2026-06-12T22:37:24+00:00,conversation-09-germany-curacao,Germany vs Curacao,3-0,home,0.1240929232459787,20.030627350587828,3-0,home,0.13559120322173263,20.605541349386392,False,0.5749139987985643
2026-06-12T22:39:19+00:00,conversation-10-qatar-switzerland,Qatar vs Switzerland,0-1,away,0.11496969578150246,32.78069429635359,0-1,away,0.12974948546599985,33.72467538961577,False,0.943981093262181
2026-06-12T22:44:35+00:00,conversation-11-netherlands-japan,Netherlands vs Japan,1-0,home,0.09282315089968014,40.096946755663744,1-0,home,0.1044534754623154,40.67868197022082,False,0.581735214557078
2026-06-14T21:19:05+00:00,conversation-ivory-coast-ecuador-20260614,Ivory Coast vs Ecuador,0-1,away,0.12218754142139791,38.34770101841604,0-1,away,0.1373532037509931,38.80260581846654,False,0.4549048000504996
2026-06-14T21:22:38+00:00,conversation-sweden-tunisia-20260614,Sweden vs Tunisia,2-1,home,0.08192548600108855,39.041071781516884,2-1,home,0.08846114107485359,39.360381135861886,False,0.31930935434500185
2026-06-14T21:24:17+00:00,conversation-spain-cabo-verde-20260614,Spain vs Cabo Verde,2-0,home,0.1234328826412814,20.190586769871466,2-0,home,0.13861322333625473,20.949602686067962,False,0.7590159161964962
