commence_time,match,actual_score,proportional_score,proportional_outcome_correct,proportional_exact_score_correct,proportional_realized_points,power_score,power_outcome_correct,power_exact_score_correct,power_realized_points,points_delta_power_minus_proportional
2026-06-11T19:00:00Z,Mexico vs South Africa,2-0,1-0,True,False,49.0,1-0,True,False,49.0,0.0
2026-06-12T02:00:00Z,Korea vs Czech Republic,2-1,2-0,True,False,96.0,2-0,True,False,96.0,0.0
2026-06-12T19:02:00Z,Canada vs Bosnia,1-1,1-0,False,False,0.0,1-0,False,False,0.0,0.0
2026-06-13T01:02:00Z,USA vs Paraguay,4-1,2-0,True,False,74.0,2-0,True,False,74.0,0.0
2026-06-13T19:04:00Z,Qatar vs Switzerland,1-1,0-1,False,False,0.0,0-1,False,False,0.0,0.0
2026-06-13T22:04:00Z,Brazil vs Morocco,1-1,1-0,False,False,0.0,1-0,False,False,0.0,0.0
2026-06-14T01:00:00Z,Haiti vs Scotland,0-1,0-1,True,True,94.0,0-1,True,True,94.0,0.0
2026-06-14T04:00:00Z,Australia vs Turkey,2-0,0-1,False,False,0.0,0-1,False,False,0.0,0.0
2026-06-14T17:01:00Z,Germany vs Curacao,7-1,3-0,True,False,15.0,3-0,True,False,15.0,0.0
2026-06-14T20:00:00Z,Netherlands vs Japan,2-2,1-0,False,False,0.0,1-0,False,False,0.0,0.0
2026-06-14T23:03:00Z,Ivory Coast vs Ecuador,1-0,0-1,False,False,0.0,0-1,False,False,0.0,0.0
2026-06-15T02:00:00Z,Sweden vs Tunisia,5-1,2-1,True,False,72.0,2-1,True,False,72.0,0.0
2026-06-15T16:01:00Z,Spain vs Cabo Verde,0-0,2-0,False,False,0.0,2-0,False,False,0.0,0.0
2026-06-15T19:00:00Z,Belgium vs Egypt,1-1,1-0,False,False,0.0,1-0,False,False,0.0,0.0
2026-06-15T22:03:00Z,Saudi Arabia vs Uruguay,1-1,0-1,False,False,0.0,0-1,False,False,0.0,0.0
2026-06-16T01:03:00Z,Iran vs New Zealand,2-2,1-1,True,False,116.0,1-1,True,False,116.0,0.0
2026-06-16T19:02:00Z,France vs Senegal,3-1,1-0,True,False,46.0,1-0,True,False,46.0,0.0
2026-06-16T22:00:00Z,Iraq vs Norway,1-4,0-2,True,False,30.0,0-2,True,False,30.0,0.0
2026-06-17T01:02:00Z,Argentina vs Algeria,3-0,1-0,True,False,43.0,1-0,True,False,43.0,0.0
2026-06-17T04:02:00Z,Austria vs Jordan,3-1,1-0,True,False,38.0,1-0,True,False,38.0,0.0
2026-06-17T17:01:00Z,Portugal vs RD Congo,1-1,1-0,False,False,0.0,1-0,False,False,0.0,0.0
2026-06-17T20:00:00Z,England vs Croatia,4-2,1-0,True,False,59.0,1-0,True,False,59.0,0.0
2026-06-17T23:00:00Z,Ghana vs Panama,1-0,2-1,True,False,73.0,2-1,True,False,73.0,0.0
2026-06-18T02:00:00Z,Uzbekistan vs Colombia,1-3,0-1,True,False,44.0,0-1,True,False,44.0,0.0
2026-06-18T16:00:00Z,Czechia vs South Africa,1-1,1-0,False,False,0.0,1-0,False,False,0.0,0.0
2026-06-18T19:00:00Z,Switzerland vs Bosnia-Herzegovina,4-1,1-0,True,False,76.0,1-0,True,False,76.0,0.0
2026-06-18T22:00:00Z,Canada vs Qatar,6-0,1-0,True,False,71.0,1-0,True,False,71.0,0.0
2026-06-19T01:00:00Z,Mexico vs South Korea,1-0,0-0,False,False,0.0,0-0,False,False,0.0,0.0
2026-06-19T19:00:00Z,United States vs Australia,2-0,1-0,True,False,58.0,1-0,True,False,58.0,0.0
2026-06-19T22:00:00Z,Scotland vs Morocco,0-1,0-1,True,True,141.0,0-1,True,True,141.0,0.0
2026-06-20T00:32:00Z,Brazil vs Haiti,3-0,2-0,True,False,21.0,2-0,True,False,21.0,0.0
2026-06-20T03:00:00Z,Turkey vs Paraguay,0-1,1-0,False,False,0.0,1-0,False,False,0.0,0.0
2026-06-20T17:00:00Z,Netherlands vs Sweden,5-1,3-0,True,False,67.0,1-0,True,False,67.0,0.0
2026-06-20T20:00:00Z,Germany vs Ivory Coast,2-1,0-1,False,False,0.0,0-1,False,False,0.0,0.0
2026-06-21T00:00:00Z,Ecuador vs Curacao,0-0,4-0,False,False,0.0,4-0,False,False,0.0,0.0
2026-06-21T04:00:00Z,Tunisia vs Japan,0-4,0-1,True,False,91.0,0-1,True,False,91.0,0.0
2026-06-21T16:00:00Z,Spain vs Saudi Arabia,4-0,2-0,True,False,31.0,2-0,True,False,31.0,0.0
2026-06-21T19:00:00Z,Belgium vs Iran,0-0,1-0,False,False,0.0,1-0,False,False,0.0,0.0
2026-06-21T22:00:00Z,Uruguay vs Cabo Verde,2-2,1-0,False,False,0.0,1-0,False,False,0.0,0.0
2026-06-22T01:00:00Z,New Zealand vs Egypt,1-3,0-1,True,False,59.0,0-1,True,False,59.0,0.0
2026-06-22T17:00:00Z,Argentina vs Austria,2-0,1-0,True,False,63.0,1-0,True,False,63.0,0.0
2026-06-22T21:00:00Z,France vs Iraq,3-0,1-0,True,False,22.0,2-0,True,False,22.0,0.0
2026-06-23T00:00:00Z,Norway vs Senegal,3-2,0-1,False,False,0.0,0-1,False,False,0.0,0.0
2026-06-23T03:00:00Z,Jordan vs Algeria,1-2,0-1,True,False,67.0,0-1,True,False,67.0,0.0
2026-06-23T17:00:00Z,Portugal vs Uzbekistan,5-0,1-0,True,False,24.0,1-0,True,False,24.0,0.0
2026-06-23T20:00:00Z,England vs Ghana,0-0,1-0,False,False,0.0,1-0,False,False,0.0,0.0
2026-06-23T23:00:00Z,Panama vs Croatia,0-1,1-1,False,False,0.0,1-1,False,False,0.0,0.0
2026-06-24T02:00:00Z,Colombia vs DR Congo,1-0,1-0,True,True,127.0,1-0,True,True,127.0,0.0
