snapshot_at_utc,commence_time,match,selected_pick,selected_score,actual_score,outcome_correct,exact_score_correct,base_points,exact_bonus_points,realized_points,expected_points,realized_minus_expected_points
2026-06-16T09:44:26Z,2026-06-11T19:00:00Z,Mexico vs South Africa,Mexico,1-0,2-0,True,False,49.0,0.0,49.0,40.361599372493515,8.638400627506485
2026-06-16T09:44:26Z,2026-06-12T02:00:00Z,South Korea vs Czechia,South Korea,2-0,2-1,True,False,96.0,0.0,96.0,38.14102721512523,57.85897278487477
2026-06-16T09:44:26Z,2026-06-12T19:02:00Z,Canada vs Bosnia,Canada,1-0,1-1,False,False,0.0,0.0,0.0,38.04506121576355,-38.04506121576355
2026-06-16T09:44:26Z,2026-06-13T01:02:00Z,United States vs Paraguay,United States,1-0,4-1,True,False,74.0,0.0,74.0,39.519156804975964,34.480843195024036
2026-06-16T09:44:26Z,2026-06-13T19:04:00Z,Qatar vs Switzerland,Switzerland,0-2,1-1,False,False,0.0,0.0,0.0,31.18747769088261,-31.18747769088261
2026-06-16T09:44:26Z,2026-06-13T22:04:00Z,Brazil vs Morocco,Brazil,1-0,1-1,False,False,0.0,0.0,0.0,39.71284122168005,-39.71284122168005
2026-06-16T09:44:26Z,2026-06-14T01:00:00Z,Haiti vs Scotland,Scotland,0-1,0-1,True,True,44.0,50.0,94.0,34.578704747658506,59.421295252341494
2026-06-16T09:44:26Z,2026-06-14T04:00:00Z,Australia vs Turkey,Turkey,0-1,2-0,False,False,0.0,0.0,0.0,40.798080925058386,-40.798080925058386
2026-06-16T09:44:26Z,2026-06-14T17:01:00Z,Germany vs Curacao,Germany,4-1,7-1,True,False,15.0,0.0,15.0,19.666836942300865,-4.666836942300865
2026-06-16T09:44:26Z,2026-06-14T20:00:00Z,Netherlands vs Japan,Netherlands,2-0,2-2,False,False,0.0,0.0,0.0,40.26609489520858,-40.26609489520858
2026-06-16T09:44:26Z,2026-06-14T23:03:00Z,Cote d'Ivoire vs Ecuador,Ecuador,0-1,1-0,False,False,0.0,0.0,0.0,38.7318652693703,-38.7318652693703
2026-06-16T09:44:26Z,2026-06-15T02:00:00Z,Sweden vs Tunisia,Sweden,1-0,5-1,True,False,72.0,0.0,72.0,39.217656598480964,32.782343401519036
2026-06-16T09:44:26Z,2026-06-15T16:01:00Z,Spain vs Cape Verde,Spain,2-0,0-0,False,False,0.0,0.0,0.0,21.19682327950677,-21.19682327950677
2026-06-16T09:44:26Z,2026-06-15T19:00:00Z,Belgium vs Egypt,Belgium,1-0,1-1,False,False,0.0,0.0,0.0,38.761709802995085,-38.761709802995085
2026-06-16T09:44:26Z,2026-06-15T22:03:00Z,Saudi Arabia vs Uruguay,Uruguay,0-1,1-1,False,False,0.0,0.0,0.0,37.835420152561056,-37.835420152561056
2026-06-16T09:44:26Z,2026-06-16T01:03:00Z,Iran vs New Zealand,Iran,1-0,2-2,False,False,0.0,0.0,0.0,35.73445840338804,-35.73445840338804
2026-06-16T09:44:26Z,2026-06-16T19:02:00Z,France vs Senegal,France,1-0,3-1,True,False,46.0,0.0,46.0,37.33260648788813,8.667393512111872
2026-06-16T09:44:26Z,2026-06-16T22:00:00Z,Iraq vs Norway,Norway,0-2,1-4,True,False,30.0,0.0,30.0,28.912589378308358,1.0874106216916424
2026-06-16T09:44:26Z,2026-06-17T01:02:00Z,Argentina vs Algeria,Argentina,1-0,3-0,True,False,43.0,0.0,43.0,36.35937982255008,6.640620177449918
2026-06-16T09:44:26Z,2026-06-17T04:02:00Z,Austria vs Jordan,Austria,2-0,3-1,True,False,38.0,0.0,38.0,34.42628598492526,3.573714015074742
2026-06-16T09:44:26Z,2026-06-17T17:01:00Z,Portugal vs DR Congo,Portugal,2-0,1-1,False,False,0.0,0.0,0.0,33.07766754211175,-33.07766754211175
2026-06-16T09:44:26Z,2026-06-17T20:00:00Z,England vs Croatia,England,1-0,4-2,True,False,59.0,0.0,59.0,36.31553338540708,22.68446661459292
2026-06-16T09:44:26Z,2026-06-17T23:00:00Z,Ghana vs Panama,Ghana,2-0,1-0,True,False,73.0,0.0,73.0,39.68454146600393,33.31545853399607
2026-06-16T09:44:26Z,2026-06-18T02:00:00Z,Uzbekistan vs Colombia,Colombia,0-1,1-3,True,False,44.0,0.0,44.0,35.49883129652183,8.501168703478172
2026-06-20T10:30:39Z,2026-06-18T16:00:00Z,Czechia vs South Africa,Czechia,1-0,1-1,False,False,0.0,0.0,0.0,36.739086204489276,-36.739086204489276
2026-06-20T10:30:39Z,2026-06-18T19:00:00Z,Switzerland vs Bosnia,Switzerland,1-0,4-1,True,False,76.0,0.0,76.0,53.86667274873494,22.133327251265058
2026-06-20T10:30:39Z,2026-06-18T22:00:00Z,Canada vs Qatar,Canada,1-0,6-0,True,False,71.0,0.0,71.0,60.11897300431325,10.881026995686753
2026-06-20T10:30:39Z,2026-06-19T01:00:00Z,Mexico vs South Korea,Mexico,1-0,1-0,True,True,69.0,30.0,99.0,36.85230082522965,62.14769917477035
2026-06-20T10:30:39Z,2026-06-19T19:00:00Z,United States vs Australia,United States,1-0,2-0,True,False,58.0,0.0,58.0,41.24931625748472,16.750683742515278
2026-06-20T10:30:39Z,2026-06-19T22:00:00Z,Scotland vs Morocco,Morocco,0-1,0-1,True,True,91.0,50.0,141.0,56.5299950373223,84.4700049626777
2026-06-20T10:30:39Z,2026-06-20T00:32:00Z,Brazil vs Haiti,Brazil,2-0,3-0,True,False,21.0,0.0,21.0,25.223015516898474,-4.223015516898474
2026-06-20T10:30:39Z,2026-06-20T03:00:00Z,Turkey vs Paraguay,Turkey,2-0,0-1,False,False,0.0,0.0,0.0,44.86618891832318,-44.86618891832318
2026-06-20T10:30:39Z,2026-06-20T17:00:00Z,Netherlands vs Sweden,Netherlands,1-0,5-1,True,False,67.0,0.0,67.0,43.416567838831185,23.583432161168815
2026-06-20T10:30:39Z,2026-06-20T20:00:00Z,Germany vs Ivory Coast,Draw,1-1,2-1,False,False,0.0,0.0,0.0,31.143882420846353,-31.143882420846353
2026-06-20T10:30:39Z,2026-06-21T00:00:00Z,Ecuador vs Curacao,Ecuador,2-0,0-0,False,False,0.0,0.0,0.0,44.16503581826596,-44.16503581826596
2026-06-20T10:30:39Z,2026-06-21T04:00:00Z,Tunisia vs Japan,Japan,0-1,0-4,True,False,91.0,0.0,91.0,63.14641767771966,27.85358232228034
2026-06-20T10:30:39Z,2026-06-21T16:00:00Z,Spain vs Saudi Arabia,Spain,2-0,4-0,True,False,31.0,0.0,31.0,35.33638879754636,-4.336388797546363
2026-06-20T10:30:39Z,2026-06-21T19:00:00Z,Belgium vs Iran,Belgium,1-0,0-0,False,False,0.0,0.0,0.0,33.36063880190895,-33.36063880190895
2026-06-20T10:30:39Z,2026-06-21T22:00:00Z,Uruguay vs Cape Verde,Uruguay,1-0,2-2,False,False,0.0,0.0,0.0,51.63956636261447,-51.63956636261447
2026-06-20T10:30:39Z,2026-06-22T01:00:00Z,New Zealand vs Egypt,Egypt,0-1,1-3,True,False,59.0,0.0,59.0,40.997001948176525,18.002998051823475
2026-06-20T10:30:39Z,2026-06-22T17:00:00Z,Argentina vs Austria,Argentina,1-0,2-0,True,False,63.0,0.0,63.0,44.83494614434622,18.16505385565378
2026-06-20T10:30:39Z,2026-06-22T21:00:00Z,France vs Iraq,France,2-0,3-0,True,False,22.0,0.0,22.0,27.106031794344304,-5.106031794344304
2026-06-20T10:30:39Z,2026-06-23T00:00:00Z,Norway vs Senegal,Senegal,0-1,3-2,False,False,0.0,0.0,0.0,47.20633138579163,-47.20633138579163
2026-06-20T10:30:39Z,2026-06-23T03:00:00Z,Jordan vs Algeria,Algeria,0-1,1-2,True,False,67.0,0.0,67.0,45.97750095406096,21.022499045939043
2026-06-20T10:30:39Z,2026-06-23T17:00:00Z,Portugal vs Uzbekistan,Portugal,2-0,5-0,True,False,24.0,0.0,24.0,27.083341836265717,-3.083341836265717
2026-06-20T10:30:39Z,2026-06-23T20:00:00Z,England vs Ghana,England,1-0,0-0,False,False,0.0,0.0,0.0,40.18857249372751,-40.18857249372751
2026-06-20T10:30:39Z,2026-06-23T23:00:00Z,Panama vs Croatia,Draw,1-1,0-1,False,False,0.0,0.0,0.0,30.74379980845596,-30.74379980845596
2026-06-20T10:30:39Z,2026-06-24T02:00:00Z,Colombia vs DR Congo,Colombia,1-0,1-0,True,True,77.0,30.0,107.0,54.26937953100362,52.73062046899638
2026-06-24T12:05:39Z,2026-06-24T19:00:00Z,Bosnia vs Qatar,Bosnia,2-0,3-1,True,False,87.0,0.0,87.0,66.58383027024556,20.416169729754444
2026-06-24T12:05:39Z,2026-06-24T19:00:00Z,Switzerland vs Canada,Canada,0-1,2-1,False,False,0.0,0.0,0.0,41.452102977196084,-41.452102977196084
2026-06-24T12:05:39Z,2026-06-24T22:00:00Z,Morocco vs Haiti,Morocco,2-0,4-2,True,False,29.0,0.0,29.0,31.383680791088473,-2.383680791088473
2026-06-24T12:05:39Z,2026-06-24T22:01:00Z,Scotland vs Brazil,Brazil,0-2,0-3,True,False,48.0,0.0,48.0,40.83662050600447,7.163379493995528
2026-06-24T12:05:39Z,2026-06-25T01:00:00Z,Czechia vs Mexico,Mexico,0-1,0-3,True,False,91.0,0.0,91.0,50.02328674460212,40.97671325539788
2026-06-24T12:05:39Z,2026-06-25T01:00:00Z,South Africa vs South Korea,South Korea,0-1,1-0,False,False,0.0,0.0,0.0,56.46264935467823,-56.46264935467823
2026-06-24T12:05:39Z,2026-06-25T20:00:00Z,Curacao vs Ivory Coast,Ivory Coast,0-3,0-2,True,False,53.0,0.0,53.0,49.71235179663046,3.2876482033695424
2026-06-24T12:05:39Z,2026-06-25T20:00:00Z,Ecuador vs Germany,Ecuador,1-0,2-1,True,False,145.0,0.0,145.0,37.942481447400596,107.0575185525994
2026-06-26T00:05:18Z,2026-06-25T23:00:00Z,Japan vs Sweden,Japan,1-0,1-1,False,False,0.0,0.0,0.0,54.41938213705761,-54.41938213705761
2026-06-26T00:05:18Z,2026-06-25T23:00:00Z,Tunisia vs Netherlands,Netherlands,0-2,1-3,True,False,56.0,0.0,56.0,57.54581972788225,-1.5458197278822468
2026-06-26T00:05:18Z,2026-06-26T02:00:00Z,Paraguay vs Australia,Draw,0-0,0-0,True,True,104.0,20.0,124.0,47.40532945891713,76.59467054108288
2026-06-26T00:05:18Z,2026-06-26T02:00:00Z,Turkey vs United States,United States,0-2,3-2,False,False,0.0,0.0,0.0,54.85956473031489,-54.85956473031489
2026-06-26T00:05:18Z,2026-06-26T19:01:00Z,Norway vs France,France,0-2,1-4,True,False,68.0,0.0,68.0,47.28130584188065,20.718694158119348
2026-06-26T00:05:18Z,2026-06-26T19:02:00Z,Senegal vs Iraq,Senegal,2-0,5-0,True,False,54.0,0.0,54.0,49.843974913136506,4.156025086863494
2026-06-26T00:05:18Z,2026-06-27T00:01:00Z,Cape Verde vs Saudi Arabia,Cape Verde,2-0,0-0,False,False,0.0,0.0,0.0,39.1073529501796,-39.1073529501796
2026-06-26T00:05:18Z,2026-06-27T00:01:00Z,Uruguay vs Spain,Spain,0-1,0-1,True,True,57.0,70.0,127.0,42.635810911980236,84.36418908801977
2026-06-26T00:05:18Z,2026-06-27T03:00:00Z,Egypt vs Iran,Draw,1-1,1-1,True,True,114.0,30.0,144.0,44.243127069712756,99.75687293028724
2026-06-26T00:05:18Z,2026-06-27T03:01:00Z,New Zealand vs Belgium,Belgium,0-2,1-5,True,False,32.0,0.0,32.0,34.52213183419913,-2.5221318341991292
2026-06-26T00:05:18Z,2026-06-27T21:00:00Z,Croatia vs Ghana,Draw,0-0,2-1,False,False,0.0,0.0,0.0,37.12838811365509,-37.12838811365509
2026-06-26T00:05:18Z,2026-06-27T21:00:00Z,Panama vs England,England,0-2,0-2,True,True,32.0,30.0,62.0,34.71406558292132,27.28593441707868
2026-06-26T00:05:18Z,2026-06-27T23:30:00Z,Colombia vs Portugal,Colombia,1-0,0-0,False,False,0.0,0.0,0.0,37.2188069012595,-37.2188069012595
2026-06-26T00:05:18Z,2026-06-27T23:30:00Z,DR Congo vs Uzbekistan,DR Congo,1-0,3-1,True,False,63.0,0.0,63.0,40.567971764373674,22.432028235626326
2026-06-26T00:05:18Z,2026-06-28T02:00:00Z,Algeria vs Austria,Draw,1-1,3-3,True,False,103.0,0.0,103.0,46.477936208392435,56.522063791607565
2026-06-26T00:05:18Z,2026-06-28T02:00:00Z,Jordan vs Argentina,Argentina,0-2,1-3,True,False,32.0,0.0,32.0,31.69242499059856,0.30757500940143956
2026-06-28T10:12:56Z,2026-06-28T19:00:00Z,South Africa vs Canada,Canada,0-1,0-1,True,True,64.0,50.0,114.0,46.847663054753795,67.1523369452462
2026-06-28T10:12:56Z,2026-06-29T17:00:00Z,Brazil vs Japan,Brazil,2-0,2-1,True,False,65.0,0.0,65.0,46.070195964916394,18.929804035083606
2026-06-28T10:12:56Z,2026-06-29T20:30:00Z,Germany vs Paraguay,Germany,1-0,1-1,False,False,0.0,0.0,0.0,42.69824595034504,-42.69824595034504
2026-06-28T10:12:56Z,2026-06-30T00:59:00Z,Netherlands vs Morocco,Netherlands,2-0,1-1,False,False,0.0,0.0,0.0,42.132588951502335,-42.132588951502335
2026-06-28T10:12:56Z,2026-06-30T17:00:00Z,Cote d'Ivoire vs Norway,Norway,0-2,1-2,True,False,75.0,0.0,75.0,43.317378211794576,31.682621788205424
2026-06-28T10:12:56Z,2026-06-30T21:00:00Z,France vs Sweden,France,2-0,3-0,True,False,38.0,0.0,38.0,38.08323538070704,-0.08323538070703762
2026-06-28T10:12:56Z,2026-07-01T02:00:00Z,Mexico vs Ecuador,Mexico,1-0,2-0,True,False,84.0,0.0,84.0,41.605471981653515,42.394528018346485
2026-07-01T04:19:04Z,2026-07-01T16:00:00Z,England vs DR Congo,England,1-0,2-1,True,False,39.0,0.0,39.0,38.200345517521015,0.7996544824789851
2026-07-01T04:19:04Z,2026-07-01T20:00:00Z,Belgium vs Senegal,Belgium,2-0,3-2,True,False,80.0,0.0,80.0,42.009995802070556,37.990004197929444
2026-07-01T04:19:04Z,2026-07-02T00:00:00Z,United States vs Bosnia,United States,1-0,2-0,True,False,52.0,0.0,52.0,47.81511707177499,4.184882928225008
2026-07-01T04:19:04Z,2026-07-02T19:00:00Z,Spain vs Austria,Spain,1-0,3-0,True,False,41.0,0.0,41.0,41.224252535073205,-0.2242525350732052
2026-07-01T04:19:04Z,2026-07-02T23:00:00Z,Portugal vs Croatia,Portugal,2-0,2-1,True,False,73.0,0.0,73.0,47.65260238167795,25.34739761832205
2026-07-01T04:19:04Z,2026-07-03T03:00:00Z,Switzerland vs Algeria,Algeria,0-2,2-0,False,False,0.0,0.0,0.0,39.90258254593125,-39.90258254593125
2026-07-01T04:19:04Z,2026-07-03T18:00:00Z,Australia vs Egypt,Egypt,0-1,1-1,False,False,0.0,0.0,0.0,41.19394996002901,-41.19394996002901
2026-07-01T04:19:04Z,2026-07-03T22:00:00Z,Argentina vs Cape Verde,Argentina,2-0,3-2,True,False,25.0,0.0,25.0,31.85343539048365,-6.85343539048365
2026-07-01T04:19:04Z,2026-07-04T01:30:00Z,Colombia vs Ghana,Colombia,1-0,1-0,True,True,66.0,30.0,96.0,50.68327711514313,45.31672288485687
