commence_time,match,selected_score,actual_score,outcome_correct,exact_score_correct,base_points,exact_bonus_points,realized_points,expected_points,realized_minus_expected,source
2026-06-11T19:00:00Z,Mexico vs South Africa,1-0,2-0,True,False,49.0,0.0,49.0,39.56202976198428,9.437970238015723,nathan_pronos
2026-06-12T02:00:00Z,South Korea vs Czech Republic,1-1,2-1,False,False,0.0,0.0,0.0,34.98687831565834,-34.98687831565834,nathan_pronos
2026-06-12T19:02:00Z,Canada vs Bosnia & Herzegovina,2-0,1-1,False,False,0.0,0.0,0.0,37.17877420691539,-37.17877420691539,nathan_pronos
2026-06-13T01:02:00Z,USA vs Paraguay,2-0,4-1,True,False,74.0,0.0,74.0,39.9813064015737,34.0186935984263,nathan_pronos
2026-06-13T19:04:00Z,Qatar vs Switzerland,0-4,1-1,False,False,0.0,0.0,0.0,29.017428055933543,-29.017428055933543,nathan_pronos
2026-06-13T22:04:00Z,Brazil vs Morocco,1-3,1-1,False,False,0.0,0.0,0.0,25.758284521208765,-25.758284521208765,nathan_pronos
2026-06-14T01:00:00Z,Haiti vs Scotland,0-3,0-1,True,False,44.0,0.0,44.0,31.143397828536372,12.856602171463628,nathan_pronos
2026-06-14T04:00:00Z,Australia vs Turkey,1-2,2-0,False,False,0.0,0.0,0.0,37.27128706603819,-37.27128706603819,nathan_pronos
2026-06-14T17:01:00Z,Germany vs Curaçao,1-1,7-1,False,False,0.0,0.0,0.0,10.276468789054565,-10.276468789054565,nathan_pronos
2026-06-14T20:00:00Z,Netherlands vs Japan,3-2,2-2,False,False,0.0,0.0,0.0,37.36635159070204,-37.36635159070204,nathan_pronos
2026-06-14T23:03:00Z,Ivory Coast vs Ecuador,2-1,1-0,True,False,108.0,0.0,108.0,29.364423440021007,78.635576559979,nathan_pronos
2026-06-15T02:00:00Z,Sweden vs Tunisia,1-0,5-1,True,False,72.0,0.0,72.0,38.31278181230195,33.68721818769805,nathan_pronos
2026-06-15T16:01:00Z,Spain vs Cape Verde,6-1,0-0,False,False,0.0,0.0,0.0,14.018951732868004,-14.018951732868004,nathan_pronos
2026-06-15T19:00:00Z,Belgium vs Egypt,1-1,1-1,True,True,122.0,20.0,142.0,30.681142476560165,111.31885752343983,nathan_pronos
2026-06-15T22:03:00Z,Saudi Arabia vs Uruguay,0-2,1-1,False,False,0.0,0.0,0.0,34.54798449600719,-34.54798449600719,nathan_pronos
