date,time,match,optimal_pick,optimal_exact_score,optimal_exact_bonus_label,optimal_pick_probability,optimal_pick_points,optimal_exact_score_probability,optimal_exact_bonus_points,optimal_expected_points,second_best_pick,second_best_expected_points,expected_points_edge
2026-06-18,18:00,Czechia vs South Africa,South Africa,0-2,Tres rare,0.23682657883052136,142.0,0.05557309280490429,50.0,36.40802883417925,Draw,35.00005351566313,1.4079753185161152
2026-06-18,21:00,Switzerland vs Bosnia,Switzerland,1-0,Tres rare,0.599440512733655,76.0,0.13293948384383455,50.0,52.2044531599495,Draw,27.109248081970907,25.095205077978594
2026-06-19,00:00,Canada vs Qatar,Canada,1-0,Tres rare,0.7068737692220132,71.0,0.1579897776946759,50.0,58.087526499496725,Draw,21.70721808016578,36.380308419330945
2026-06-19,03:00,Mexico vs South Korea,Mexico,1-0,Rare,0.5153757004866594,69.0,0.14083554472284143,30.0,39.78598967526474,Draw,34.08094360583246,5.705046069432278
2026-06-19,21:00,United States vs Australia,United States,1-0,Tres rare,0.5403369539372327,58.0,0.1260837686225225,50.0,37.64373175948562,Australia,33.71644380236194,3.9272879571236814
2026-06-20,00:00,Scotland vs Morocco,Morocco,0-1,Tres rare,0.4608040472836567,91.0,0.1149743034766622,50.0,47.68188347664587,Draw,35.248263369470024,12.433620107175848
2026-06-20,02:30,Brazil vs Haiti,Brazil,2-0,Tres rare,0.8978797126202837,21.0,0.12590347499259258,50.0,25.150647714655587,Draw,12.925588807496073,12.225058907159514
2026-06-20,05:00,Turkey vs Paraguay,Turkey,2-0,Tres rare,0.4213498990149132,84.0,0.0919718918567141,50.0,39.99198611008841,Paraguay,38.50969003428023,1.4822960758081791
2026-06-20,19:00,Netherlands vs Sweden,Netherlands,1-0,Tres rare,0.5701189662630304,67.0,0.13132641956556207,50.0,44.764291717901145,Draw,31.383220422734123,13.381071295167022
2026-06-20,22:00,Germany vs Ivory Coast,Draw,1-1,Exact,0.22264581733450708,137.0,0.09180107986110272,20.0,32.338498572049524,Germany,29.616879536039004,2.7216190360105195
2026-06-21,02:00,Ecuador vs Curacao,Ecuador,1-0,Tres rare,0.7597688288681743,41.0,0.1476940224772564,50.0,38.535223107457966,Draw,24.02848631120029,14.506736796257677
2026-06-21,06:00,Tunisia vs Japan,Japan,0-1,Tres rare,0.5196452923991401,91.0,0.12037265807534706,50.0,53.30635451208911,Draw,30.8006964842333,22.50565802785581
2026-06-21,18:00,Spain vs Saudi Arabia,Spain,2-0,Tres rare,0.8517412214629243,31.0,0.1678453955434229,50.0,34.7962476425218,Draw,15.27027787971143,19.52596976281037
2026-06-21,21:00,Belgium vs Iran,Belgium,1-0,Tres rare,0.6666307183334089,39.0,0.13749837636062998,50.0,32.873516833034444,Draw,30.195205062934445,2.6783117700999988
2026-06-22,00:00,Uruguay vs Cape Verde,Uruguay,1-0,Tres rare,0.6526791598854303,72.0,0.13877997756411214,50.0,53.931898389956594,Draw,25.017242881979726,28.914655507976867
2026-06-22,03:00,New Zealand vs Egypt,Egypt,0-1,Tres rare,0.5492106876996432,59.0,0.11851969070811078,50.0,38.32941510968449,Draw,31.754196111034354,6.575218998650136
2026-06-22,19:00,Argentina vs Austria,Argentina,1-0,Rare,0.5700618480328296,63.0,0.13803001824863434,30.0,40.054796973527296,Draw,28.463669733060957,11.591127240466339
2026-06-22,23:00,France vs Iraq,France,2-0,Tres rare,0.8555075022495129,22.0,0.1641554085671012,50.0,27.028935477844342,Draw,18.468512176402978,8.560423301441364
2026-06-23,02:00,Norway vs Senegal,Senegal,0-1,Tres rare,0.2721943488590642,137.0,0.07196684107476237,50.0,40.88896784742991,Norway,33.41237777497587,7.476590072454037
2026-06-23,05:00,Jordan vs Algeria,Algeria,0-1,Tres rare,0.5710001032037371,67.0,0.10987703807818196,50.0,43.75085881855948,Draw,36.40258968219848,7.348269136360997
2026-06-23,19:00,Portugal vs Uzbekistan,Draw,1-1,Exact,0.15629286340109605,154.0,0.06614359839701102,20.0,25.39197293170901,Portugal,25.366940379566557,0.025032552142452147
2026-06-23,22:00,England vs Ghana,England,2-0,Tres rare,0.71359547749489,44.0,0.15333185469247992,50.0,39.06479374439916,Draw,24.59821785317608,14.46657589122308
2026-06-24,01:00,Panama vs Croatia,Draw,1-1,Exact,0.23433073626104603,123.0,0.08649002556803354,20.0,30.552481071469334,Croatia,28.6404804529911,1.9120006184782348
2026-06-24,04:00,Colombia vs DR Congo,Colombia,1-0,Rare,0.6457150141906384,77.0,0.15769732487339963,30.0,54.45097583888114,Draw,26.945223481423653,27.50575235745749
