rollout,future_points,total_points
1,1011.0,2647.0
2,1387.0,3023.0
3,1150.0,2786.0
4,1584.0,3220.0
5,964.0,2600.0
6,921.0,2557.0
7,1067.0,2703.0
8,1371.0,3007.0
9,1182.0,2818.0
10,1070.0,2706.0
11,1401.0,3037.0
12,880.0,2516.0
13,456.0,2092.0
14,1136.0,2772.0
15,1266.0,2902.0
16,1384.0,3020.0
17,1419.0,3055.0
18,1247.0,2883.0
19,1266.0,2902.0
20,1602.0,3238.0
21,1830.0,3466.0
22,1483.0,3119.0
23,1342.0,2978.0
24,1179.0,2815.0
25,1195.0,2831.0
26,932.0,2568.0
27,1214.0,2850.0
28,1436.0,3072.0
29,1199.0,2835.0
30,801.0,2437.0
31,1155.0,2791.0
32,1033.0,2669.0
33,1281.0,2917.0
34,947.0,2583.0
35,1201.0,2837.0
36,1177.0,2813.0
37,1414.0,3050.0
38,1011.0,2647.0
39,1715.0,3351.0
40,1572.0,3208.0
41,809.0,2445.0
42,1343.0,2979.0
43,894.0,2530.0
44,891.0,2527.0
45,1601.0,3237.0
46,515.0,2151.0
47,1296.0,2932.0
48,1080.0,2716.0
49,1184.0,2820.0
50,1156.0,2792.0
51,1060.0,2696.0
52,955.0,2591.0
53,1539.0,3175.0
54,1079.0,2715.0
55,897.0,2533.0
56,1519.0,3155.0
57,1436.0,3072.0
58,1215.0,2851.0
59,944.0,2580.0
60,860.0,2496.0
61,1319.0,2955.0
62,1516.0,3152.0
63,1060.0,2696.0
64,1631.0,3267.0
65,1210.0,2846.0
66,1142.0,2778.0
67,1154.0,2790.0
68,1001.0,2637.0
69,973.0,2609.0
70,1184.0,2820.0
71,889.0,2525.0
72,1398.0,3034.0
73,1591.0,3227.0
74,1605.0,3241.0
75,1019.0,2655.0
76,1443.0,3079.0
77,1057.0,2693.0
78,1138.0,2774.0
79,1352.0,2988.0
80,749.0,2385.0
81,1092.0,2728.0
82,1025.0,2661.0
83,1397.0,3033.0
84,916.0,2552.0
85,1048.0,2684.0
86,1087.0,2723.0
87,1014.0,2650.0
88,1153.0,2789.0
89,834.0,2470.0
90,1178.0,2814.0
91,916.0,2552.0
92,1240.0,2876.0
93,1675.0,3311.0
94,1284.0,2920.0
95,1226.0,2862.0
