games_played,population_mean_points,population_p10_points,population_median_points,population_p90_points,optimal_mean_points,optimal_p10_points,optimal_median_points,optimal_p90_points,optimal_mean_edge,optimal_ahead_probability,tie_probability
1,39.835235,0.0,64.0,84.0,47.6913,0.0,64.0,114.0,7.856065,0.238285,0.64879
2,79.76,0.0,65.0,149.0,94.680625,0.0,65.0,179.0,14.920625,0.38608,0.436355
3,118.23711,45.0,110.0,204.0,137.49335,45.0,129.0,224.0,19.25624,0.464795,0.331585
4,154.4013,45.0,145.0,266.0,182.65885,80.0,179.0,304.0,28.25755,0.55622,0.160485
5,192.33886,65.0,185.0,319.0,227.240975,110.0,234.0,349.0,34.902115,0.591855,0.09749
6,228.06673,103.0,223.0,359.0,265.492245,147.0,265.0,392.0,37.425515,0.60561,0.082285
7,266.22337,125.0,262.0,414.0,312.189115,174.0,308.0,451.0,45.965745,0.62892,0.044985
8,300.0899,152.0,294.0,453.0,353.612115,212.0,351.0,500.0,53.522215,0.650945,0.032405
9,337.839555,183.0,331.0,504.0,399.020365,247.0,396.0,555.0,61.18081,0.66127,0.019195
10,378.919295,213.0,373.0,551.0,447.621375,288.0,446.0,608.0,68.70208,0.6755,0.015175
11,413.56492,244.0,408.0,589.0,491.38599,329.0,490.0,654.0,77.82107,0.69224,0.0114
12,451.9032,273.0,446.0,638.0,539.39192,367.0,538.0,713.0,87.48872,0.7027,0.008175
13,487.32073,299.0,481.0,684.0,578.93562,388.0,574.0,777.0,91.61489,0.688125,0.0047
14,525.212295,325.0,519.0,733.0,623.75279,421.0,619.0,833.0,98.540495,0.69287,0.003385
15,552.13772,350.0,546.0,762.0,655.49054,451.0,651.0,866.0,103.35282,0.699475,0.003065
16,590.918625,381.0,585.0,808.0,704.50937,494.0,700.0,920.0,113.590745,0.71182,0.00249
