rollout,hybrid_strategy_points,random_exact_bettor_share_points
1,1333.0,975.0
2,1103.0,859.0
3,1352.0,1114.0
4,1488.0,813.0
5,1203.0,1032.0
6,1283.0,807.0
7,1255.0,791.0
8,1383.0,1025.0
9,1386.0,853.0
10,1213.0,978.0
11,1138.0,667.0
12,1345.0,714.0
13,1054.0,839.0
14,1086.0,957.0
15,1170.0,1233.0
16,1766.0,692.0
17,1071.0,868.0
18,1023.0,799.0
19,1101.0,1127.0
20,1023.0,807.0
21,1304.0,964.0
22,1302.0,843.0
23,1042.0,915.0
24,1164.0,921.0
25,1042.0,976.0
26,1514.0,1076.0
27,1213.0,913.0
28,1039.0,1041.0
29,1267.0,1043.0
30,1644.0,1152.0
31,1146.0,831.0
32,1436.0,1026.0
33,1101.0,918.0
34,1351.0,961.0
35,1261.0,901.0
36,1347.0,1197.0
37,1124.0,1042.0
38,737.0,967.0
39,1302.0,1074.0
40,1218.0,1128.0
41,950.0,1189.0
42,1013.0,1209.0
43,1185.0,1112.0
44,1084.0,967.0
45,1231.0,1092.0
46,1218.0,1134.0
47,1097.0,1002.0
48,974.0,1269.0
49,984.0,1147.0
50,972.0,1259.0
51,1194.0,1163.0
52,1089.0,845.0
53,1975.0,864.0
54,1630.0,1164.0
55,986.0,1031.0
56,1006.0,881.0
57,1224.0,1049.0
58,767.0,927.0
59,928.0,1358.0
60,1065.0,571.0
61,1035.0,969.0
62,1601.0,843.0
63,1552.0,863.0
64,1367.0,1052.0
65,1329.0,799.0
66,1205.0,579.0
67,1660.0,1031.0
68,1435.0,998.0
69,1235.0,801.0
70,1163.0,1052.0
71,971.0,826.0
72,1342.0,859.0
73,1228.0,484.0
74,1726.0,806.0
75,1382.0,875.0
76,1303.0,919.0
77,1057.0,876.0
78,763.0,1295.0
79,1797.0,983.0
80,1418.0,1017.0
81,1126.0,1086.0
82,1625.0,529.0
83,1348.0,892.0
84,903.0,1130.0
85,1124.0,714.0
86,1175.0,1089.0
87,1073.0,761.0
88,1122.0,876.0
89,942.0,689.0
90,773.0,493.0
91,1260.0,908.0
92,1246.0,1213.0
93,1684.0,1200.0
94,1392.0,924.0
95,1281.0,623.0
96,1402.0,1209.0
97,1725.0,901.0
98,1323.0,872.0
99,1416.0,1414.0
100,1246.0,1206.0
101,883.0,1008.0
102,1273.0,960.0
103,1396.0,910.0
104,888.0,800.0
105,1448.0,997.0
106,1550.0,693.0
107,1560.0,1040.0
108,670.0,1138.0
109,1240.0,1111.0
110,1735.0,989.0
111,1061.0,899.0
112,1005.0,809.0
113,1052.0,850.0
114,740.0,1201.0
115,1005.0,1281.0
116,1015.0,937.0
117,1018.0,997.0
118,1253.0,706.0
119,1116.0,1093.0
120,1445.0,1058.0
121,1138.0,1034.0
122,1166.0,1062.0
123,1096.0,796.0
124,1357.0,1072.0
125,798.0,945.0
126,1583.0,991.0
127,1463.0,680.0
128,1909.0,844.0
129,1403.0,831.0
130,1180.0,817.0
131,1290.0,1011.0
132,984.0,1010.0
133,1742.0,909.0
134,1106.0,1423.0
135,807.0,828.0
136,1293.0,750.0
137,1238.0,984.0
138,1491.0,1096.0
139,1022.0,971.0
140,1467.0,1038.0
141,1258.0,991.0
142,1304.0,1072.0
143,1341.0,1009.0
144,1297.0,889.0
145,1156.0,752.0
146,1401.0,1083.0
147,1317.0,1328.0
148,1037.0,899.0
149,1109.0,785.0
150,1839.0,931.0
151,886.0,924.0
152,1569.0,1156.0
153,1236.0,971.0
154,1081.0,859.0
155,1090.0,937.0
156,1297.0,1204.0
157,1192.0,994.0
158,1546.0,867.0
159,1216.0,935.0
160,1174.0,1090.0
161,996.0,1175.0
162,1198.0,689.0
163,1483.0,1030.0
164,902.0,1048.0
165,895.0,962.0
166,1212.0,1141.0
167,1370.0,824.0
168,1494.0,997.0
169,953.0,971.0
170,1132.0,1089.0
171,746.0,765.0
172,1413.0,328.0
173,837.0,1046.0
174,1562.0,1416.0
175,1553.0,812.0
176,1211.0,997.0
177,846.0,1374.0
178,1186.0,1305.0
179,1367.0,1299.0
180,1322.0,1153.0
181,1482.0,929.0
182,1317.0,1001.0
183,1337.0,1107.0
184,1296.0,1072.0
185,1013.0,949.0
186,1317.0,903.0
187,1541.0,874.0
188,773.0,1104.0
189,972.0,1233.0
190,973.0,971.0
191,640.0,780.0
192,1560.0,1069.0
193,1408.0,1165.0
194,779.0,1177.0
195,1295.0,1034.0
196,557.0,698.0
197,1320.0,600.0
198,1245.0,1299.0
199,1631.0,1220.0
200,714.0,911.0
201,923.0,1382.0
202,1324.0,1213.0
203,1905.0,886.0
204,1021.0,1021.0
205,1756.0,977.0
206,1057.0,932.0
207,901.0,1002.0
208,915.0,1074.0
209,1312.0,962.0
210,1011.0,991.0
211,1113.0,806.0
212,1661.0,1105.0
213,1692.0,985.0
214,982.0,1342.0
215,1149.0,973.0
216,1170.0,1289.0
217,1048.0,1273.0
218,1188.0,1019.0
219,1585.0,832.0
220,1408.0,1123.0
221,1410.0,512.0
222,1027.0,966.0
223,1077.0,1138.0
224,1000.0,1209.0
225,1666.0,1386.0
226,1477.0,1134.0
227,857.0,975.0
228,1298.0,742.0
229,1186.0,1001.0
230,1323.0,774.0
231,1354.0,721.0
232,1416.0,810.0
233,1137.0,671.0
234,772.0,959.0
235,1266.0,902.0
236,1179.0,774.0
237,1085.0,951.0
238,1551.0,1224.0
239,1054.0,1043.0
240,1085.0,951.0
241,1050.0,701.0
242,1203.0,689.0
243,1069.0,950.0
244,2001.0,849.0
245,1364.0,1027.0
246,955.0,596.0
247,910.0,859.0
248,987.0,952.0
249,1441.0,1524.0
250,1031.0,667.0
251,1150.0,1036.0
252,1448.0,942.0
253,802.0,687.0
254,866.0,978.0
255,784.0,895.0
256,1240.0,915.0
257,927.0,852.0
258,1352.0,1114.0
259,847.0,701.0
260,1191.0,1025.0
261,1233.0,839.0
262,1114.0,964.0
263,917.0,1283.0
264,1345.0,871.0
265,1302.0,1126.0
266,820.0,1113.0
267,1209.0,1069.0
268,1092.0,648.0
269,2115.0,930.0
270,1179.0,929.0
271,975.0,571.0
272,970.0,780.0
273,1475.0,1127.0
274,1651.0,1015.0
275,1203.0,764.0
276,1037.0,939.0
277,1410.0,1098.0
278,1066.0,1088.0
279,1723.0,864.0
280,1324.0,1047.0
281,499.0,645.0
282,1043.0,865.0
283,850.0,569.0
284,1321.0,751.0
285,1499.0,867.0
286,1334.0,889.0
287,1191.0,963.0
288,1447.0,1067.0
289,1412.0,1170.0
290,1350.0,945.0
291,1299.0,807.0
292,1155.0,1216.0
293,1145.0,1173.0
294,1063.0,1044.0
295,790.0,722.0
296,1349.0,1097.0
297,1229.0,691.0
298,1142.0,1131.0
299,1202.0,791.0
300,1348.0,1061.0
301,1125.0,1267.0
302,986.0,726.0
303,1823.0,1221.0
304,1086.0,782.0
305,1017.0,961.0
306,1267.0,850.0
307,1414.0,845.0
308,1134.0,991.0
309,1206.0,868.0
310,1072.0,863.0
311,1442.0,754.0
312,981.0,1332.0
313,1359.0,1040.0
314,1134.0,941.0
315,1430.0,845.0
316,1148.0,830.0
317,1704.0,640.0
318,1432.0,1025.0
319,1336.0,1103.0
320,1047.0,1079.0
321,1185.0,891.0
322,1107.0,777.0
323,1196.0,1501.0
324,1258.0,997.0
325,1347.0,1350.0
326,1414.0,791.0
327,771.0,828.0
328,1183.0,691.0
329,1438.0,1005.0
330,1205.0,692.0
331,1566.0,1026.0
332,1321.0,877.0
333,1401.0,690.0
334,911.0,737.0
335,1221.0,592.0
336,1327.0,1203.0
337,1474.0,802.0
338,1241.0,1044.0
339,1083.0,729.0
340,1172.0,891.0
341,1447.0,1013.0
342,1443.0,1187.0
343,871.0,668.0
344,1180.0,935.0
345,1095.0,1125.0
346,1334.0,977.0
347,1165.0,926.0
348,1109.0,1234.0
