strategy,match,pick,picked_share,pick_points,actual_outcome,realized_points
max_bettor_share_outcome,Mexico vs South Africa,home,0.82,49.0,home,49.0
max_bettor_share_outcome,South Korea vs Czech Republic,draw,0.47,107.0,home,0.0
max_bettor_share_outcome,Canada vs Bosnia & Herzegovina,home,0.59,65.0,draw,0.0
max_bettor_share_outcome,USA vs Paraguay,home,0.63,74.0,home,74.0
max_bettor_share_outcome,Qatar vs Switzerland,away,0.88,33.0,draw,0.0
max_bettor_share_outcome,Brazil vs Morocco,home,0.49,55.0,draw,0.0
max_bettor_share_outcome,Haiti vs Scotland,away,0.89,44.0,away,44.0
max_bettor_share_outcome,Australia vs Turkey,away,0.7,66.0,home,0.0
max_bettor_share_outcome,Germany vs Curaçao,home,0.97,15.0,home,15.0
max_bettor_share_outcome,Netherlands vs Japan,home,0.63,74.0,draw,0.0
max_bettor_share_outcome,Ivory Coast vs Ecuador,draw,0.44,101.0,home,0.0
max_bettor_share_outcome,Sweden vs Tunisia,home,0.64,72.0,home,72.0
max_bettor_share_outcome,Spain vs Cape Verde,home,0.97,16.0,draw,0.0
max_bettor_share_outcome,Belgium vs Egypt,home,0.75,57.0,draw,0.0
max_bettor_share_outcome,Saudi Arabia vs Uruguay,away,0.8,50.0,draw,0.0
max_bettor_share_outcome,Iran vs New Zealand,draw,0.42,116.0,draw,116.0
max_bettor_share_outcome,France vs Senegal,home,0.91,46.0,home,46.0
max_bettor_share_outcome,Iraq vs Norway,away,0.93,30.0,away,30.0
max_bettor_share_outcome,Argentina vs Algeria,home,0.82,43.0,home,43.0
max_bettor_share_outcome,Austria vs Jordan,home,0.86,38.0,home,38.0
max_bettor_share_outcome,Portugal vs DR Congo,home,0.95,34.0,draw,0.0
max_bettor_share_outcome,England vs Croatia,home,0.58,59.0,home,59.0
max_bettor_share_outcome,Ghana vs Panama,home,0.63,73.0,home,73.0
max_bettor_share_outcome,Uzbekistan vs Colombia,away,0.9,44.0,away,44.0
max_bettor_share_outcome,Czech Republic vs South Africa,home,0.55,62.0,draw,0.0
max_bettor_share_outcome,Switzerland vs Bosnia & Herzegovina,home,0.7,76.0,home,76.0
max_bettor_share_outcome,Canada vs Qatar,home,0.73,71.0,home,71.0
max_bettor_share_outcome,Mexico vs South Korea,home,0.54,69.0,home,69.0
max_bettor_share_outcome,USA vs Australia,home,0.7,58.0,home,58.0
max_bettor_share_outcome,Scotland vs Morocco,away,0.77,91.0,away,91.0
max_bettor_share_outcome,Brazil vs Haiti,home,0.96,21.0,home,21.0
max_bettor_share_outcome,Turkey vs Paraguay,home,0.57,84.0,away,0.0
max_bettor_share_outcome,Netherlands vs Sweden,home,0.6,67.0,home,67.0
max_bettor_share_outcome,Germany vs Ivory Coast,home,0.81,38.0,home,38.0
max_bettor_share_outcome,Ecuador vs Curaçao,home,0.82,41.0,draw,0.0
max_bettor_share_outcome,Tunisia vs Japan,away,0.65,91.0,away,91.0
max_bettor_share_outcome,Spain vs Saudi Arabia,home,0.95,31.0,home,31.0
max_bettor_share_outcome,Belgium vs Iran,home,0.91,39.0,draw,0.0
max_bettor_share_outcome,Uruguay vs Cape Verde,home,0.81,72.0,draw,0.0
max_bettor_share_outcome,New Zealand vs Egypt,away,0.7,59.0,away,59.0
max_bettor_share_outcome,Argentina vs Austria,home,0.86,63.0,home,63.0
max_bettor_share_outcome,France vs Iraq,home,0.98,22.0,home,22.0
max_bettor_share_outcome,Norway vs Senegal,draw,0.42,105.0,home,0.0
max_bettor_share_outcome,Jordan vs Algeria,away,0.82,67.0,away,67.0
