match,actual_outcome,actual_outcome_share,actual_outcome_points,expected_points_vs_actual
Mexico vs South Africa,home,0.82,49.0,40.18
South Korea vs Czech Republic,home,0.33,96.0,31.68
Canada vs Bosnia & Herzegovina,draw,0.2222222222222222,117.0,26.0
USA vs Paraguay,home,0.6237623762376238,74.0,46.15841584158416
Qatar vs Switzerland,draw,0.07,141.0,9.870000000000001
Brazil vs Morocco,draw,0.3,122.0,36.6
Haiti vs Scotland,away,0.8811881188118812,44.0,38.772277227722775
Australia vs Turkey,home,0.09,126.0,11.34
Germany vs Curaçao,home,0.97,15.0,14.549999999999999
Netherlands vs Japan,draw,0.24,115.0,27.599999999999998
Ivory Coast vs Ecuador,home,0.35,108.0,37.8
Sweden vs Tunisia,home,0.64,72.0,46.08
Spain vs Cape Verde,draw,0.02,166.0,3.3200000000000003
Belgium vs Egypt,draw,0.1717171717171717,122.0,20.949494949494948
Saudi Arabia vs Uruguay,draw,0.13,125.0,16.25
Iran vs New Zealand,draw,0.42,116.0,48.72
France vs Senegal,home,0.91,46.0,41.86
Iraq vs Norway,away,0.93,30.0,27.900000000000002
Argentina vs Algeria,home,0.8118811881188119,43.0,34.910891089108915
Austria vs Jordan,home,0.86,38.0,32.68
Portugal vs DR Congo,draw,0.04,140.0,5.6000000000000005
England vs Croatia,home,0.58,59.0,34.22
Ghana vs Panama,home,0.63,73.0,45.99
Uzbekistan vs Colombia,away,0.9,44.0,39.6
Czech Republic vs South Africa,draw,0.3,112.0,33.6
Switzerland vs Bosnia & Herzegovina,home,0.7,76.0,53.199999999999996
Canada vs Qatar,home,0.7373737373737373,71.0,52.35353535353535
Mexico vs South Korea,home,0.54,69.0,37.260000000000005
USA vs Australia,home,0.693069306930693,58.0,40.198019801980195
Scotland vs Morocco,away,0.77,91.0,70.07000000000001
Brazil vs Haiti,home,0.96,21.0,20.16
Turkey vs Paraguay,away,0.1111111111111111,126.0,14.0
Netherlands vs Sweden,home,0.6,67.0,40.199999999999996
Germany vs Ivory Coast,home,0.81,38.0,30.78
Ecuador vs Curaçao,draw,0.14,143.0,20.020000000000003
Tunisia vs Japan,away,0.65,91.0,59.15
Spain vs Saudi Arabia,home,0.9595959595959596,31.0,29.747474747474747
Belgium vs Iran,draw,0.07,138.0,9.66
Uruguay vs Cape Verde,draw,0.14,109.0,15.260000000000002
New Zealand vs Egypt,away,0.7,59.0,41.3
Argentina vs Austria,home,0.86,63.0,54.18
France vs Iraq,home,0.9702970297029703,22.0,21.346534653465348
Norway vs Senegal,home,0.31,64.0,19.84
Jordan vs Algeria,away,0.8282828282828283,67.0,55.494949494949495
