match_number,match_date,home_team,away_team,home_score,away_score,home_vig_free_probability,draw_vig_free_probability,away_vig_free_probability,home_lambda_h2h_only,away_lambda_h2h_only,fit_loss_h2h_only,actual_score_probability_h2h_only_model
1,2022-11-20,Qatar,Ecuador,0,2,0.25950506391257705,0.3041074967725513,0.4363874393148718,0.8241793870574758,1.1664456129425242,6.021256212483156e-06,0.09293547851145026
2,2022-11-21,England,Iran,6,2,0.7032301480484522,0.20726783310901747,0.08950201884253028,1.8344759421265142,0.4842740578734859,1.7026627311839726e-06,0.03909479232327662
3,2022-11-21,Senegal,Netherlands,0,2,0.15653281408819816,0.2541117111821399,0.5893554747296619,0.6520200732943899,1.5417299267056102,3.337932530802943e-06,0.13251135348154994
4,2022-11-21,USA,Wales,1,1,0.3970950945464511,0.3151548369416278,0.2877500685119211,1.060904528637983,0.8515954713620171,5.516076096627473e-06,0.13345088244168982
5,2022-11-22,Argentina,Saudi Arabia,1,2,0.8685671743648603,0.10314235195582716,0.02829047367931259,2.6774293707541026,0.3288206292458975,1.4913057049331615e-06,0.00716157185074059
6,2022-11-22,Denmark,Tunisia,0,0,0.6198347107438017,0.24793388429752067,0.1322314049586777,1.5863636363636364,0.5761363636363636,4.452981790014303e-06,0.11503716832633239
7,2022-11-22,France,Australia,4,1,0.8038277511961722,0.14124401913875598,0.05492822966507177,2.3894144736842104,0.4605855263157894,1.1902293902140179e-06,0.036184762917951446
8,2022-11-22,Mexico,Poland,0,0,0.3958587088915956,0.30207064555420216,0.30207064555420216,1.1062918696711328,0.9312081303288673,1.4254500305623894e-05,0.13035418933417164
9,2022-11-23,Belgium,Canada,1,0,0.6013534297139341,0.22922177791448783,0.16942479237157798,1.7907465010765917,0.8248784989234083,7.261734939256773e-06,0.1309430965833245
10,2022-11-23,Germany,Japan,1,2,0.6786774490736001,0.19428805404852084,0.12703449687787902,2.0786822474152933,0.7713177525847069,6.102174180674396e-06,0.035767245225077016
11,2022-11-23,Morocco,Croatia,0,0,0.26709265175718844,0.2994675186368477,0.4334398296059638,0.8670181043663472,1.186106895633653,6.917567357869099e-06,0.12833323494822038
12,2022-11-23,Spain,Costa Rica,7,0,0.8402576790215667,0.11016711791616095,0.04957520306227243,2.888500723555224,0.5864992764447764,9.513750301365217e-08,0.16665911297654212
13,2022-11-24,Brazil,Serbia,2,0,0.6623093681917211,0.20697167755991286,0.13071895424836602,1.931624455337691,0.7152505446623093,5.103915204711602e-06,0.13221848843232026
14,2022-11-24,Portugal,Ghana,3,2,0.7345225603357817,0.1731374606505771,0.09233997901364112,2.2095258394543547,0.6404741605456453,3.752929238923017e-06,0.021329464948223367
15,2022-11-24,Switzerland,Cameroon,1,0,0.5397075489952179,0.27973574370456367,0.18055670730021836,1.3669409258644996,0.6549340741355005,1.0239912448244023e-05,0.18099250496098035
16,2022-11-24,Uruguay,South Korea,0,0,0.5398920215956808,0.2729454109178165,0.1871625674865027,1.4223773995200961,0.7088726004799041,8.724872160637097e-06,0.118688840038058
17,2022-11-25,England,USA,0,0,0.6512729425695678,0.2249851983422143,0.12374185908821787,1.755284191829485,0.6103408081705151,2.1167002368532675e-07,0.09389060040139942
18,2022-11-25,Netherlands,Ecuador,1,1,0.5253677574302011,0.27919543680576403,0.19543680576403483,1.366049046832783,0.718325953167217,1.065405926110863e-05,0.1220549198016361
19,2022-11-25,Qatar,Senegal,1,3,0.15757834364528558,0.26982593089946155,0.5725957254552528,0.609105880009036,1.4283941199909642,1.1632792080889972e-05,0.03856654160776133
20,2022-11-25,Wales,Iran,0,2,0.4553184105500608,0.30591705708832206,0.23876453236161724,1.178834266007288,0.7649157339927122,7.348692035059848e-06,0.041882952924165474
21,2022-11-26,Argentina,Mexico,2,0,0.6307128891711906,0.24151688682896816,0.1277702239998412,1.6188619316884845,0.5748880683115156,8.634422095604734e-06,0.14610198139152789
22,2022-11-26,France,Denmark,2,1,0.5286977371497077,0.27169189270193317,0.19961037014835906,1.4276211037014837,0.7661288962985164,6.850815336062988e-06,0.08704909216691506
23,2022-11-26,Poland,Saudi Arabia,2,0,0.5507015787235794,0.27007008929183757,0.17922833198458313,1.442995571412896,0.6882544285871042,1.2882217015882527e-05,0.1235691007661278
24,2022-11-26,Tunisia,Australia,0,1,0.4460992907801418,0.2886524822695036,0.26524822695035455,1.2489361702127662,0.8979388297872339,1.3752995098886085e-05,0.10492302097424096
25,2022-11-27,Belgium,Morocco,0,2,0.5158120970217992,0.2800122812404053,0.20417562173779555,1.361550122812404,0.738449877187596,5.535273022557792e-06,0.03338824852757178
26,2022-11-27,Croatia,Canada,4,1,0.4386446076262939,0.2946120498982571,0.266743342475449,1.2078413916659294,0.8765336083340707,6.329906788182948e-06,0.009668618043166228
27,2022-11-27,Japan,Costa Rica,0,1,0.6545554638040186,0.22570878062207542,0.11973575557390585,1.7476766790531242,0.5866983209468759,5.387672524364445e-06,0.0568340577363266
28,2022-11-27,Spain,Germany,1,1,0.3834529656214583,0.2793728749527767,0.337174159425765,1.2259066868152626,1.1240933131847375,1.2701317065794355e-05,0.13142190128093353
29,2022-11-28,Brazil,Switzerland,1,0,0.6556053811659194,0.22869955156950675,0.115695067264574,1.70640134529148,0.5498486547085201,3.7204228868188905e-06,0.17873280042335588
30,2022-11-28,Cameroon,Serbia,3,3,0.17074426989441152,0.25173834663919653,0.577517383466392,0.7275495750708214,1.5755754249291787,2.376014803990262e-06,0.0041818494096121685
31,2022-11-28,Portugal,Uruguay,2,0,0.49403341288782815,0.2863961813842482,0.2195704057279236,1.305034307875895,0.7637156921241051,4.1760183171125594e-06,0.10758882208904022
32,2022-11-28,South Korea,Ghana,2,3,0.35121951219512193,0.30731707317073165,0.34146341463414626,1.0138567073170732,0.9923932926829269,3.192558219400084e-06,0.011259524958185949
33,2022-11-29,Ecuador,Senegal,1,2,0.39365452408930673,0.31492361927144535,0.2914218566392479,1.0530809341950647,0.8594190658049354,7.845670992822362e-07,0.05744517090841341
34,2022-11-29,Iran,USA,0,1,0.2224275042172062,0.2756847939593542,0.5018877018234397,0.8207187826331432,1.3886562173668568,3.1128273787274794e-06,0.15243172767441734
35,2022-11-29,Netherlands,Qatar,2,0,0.808649593746786,0.13331790599609172,0.05803250025712229,2.5475538028386304,0.5368211971613698,5.247709872082834e-07,0.1484874302563689
36,2022-11-29,Wales,England,0,3,0.10300429184549356,0.21745350500715308,0.6795422031473534,0.5251832975679542,1.7779417024320459,1.2619745575579367e-07,0.09361960854698222
37,2022-11-30,Australia,Denmark,1,0,0.11332836696200727,0.1971913585138926,0.6894802745241001,0.6662329016816978,2.0118920983183024,2.82306109143747e-06,0.045764757665669266
38,2022-11-30,Poland,Argentina,0,2,0.11479358187184098,0.2076054140235422,0.6776010041046169,0.6340368355439465,1.9034631644560536,2.8891536623376553e-06,0.14323089647578147
39,2022-11-30,Saudi Arabia,Mexico,1,2,0.1778020179983638,0.2222525224979547,0.5999454595036814,0.8981422143441506,1.8581077856558494,1.2683444177349437e-06,0.09849921157181196
40,2022-11-30,Tunisia,France,1,0,0.15479954318687264,0.24689547394361963,0.5983049828695078,0.6715190163491013,1.600355983650899,1.1573011422789477e-06,0.06924613524486667
41,2022-12-01,Canada,Morocco,1,2,0.20635404597841328,0.2722726995548509,0.5213732544667358,0.7816038706628452,1.4121461293371549,1.0933728574735026e-05,0.08689253470789673
42,2022-12-01,Costa Rica,Germany,2,4,0.03198781416603199,0.08263518659558264,0.8853769992383854,0.5175218964204112,3.238728103579589,9.655285710028853e-07,0.014348137615340777
43,2022-12-01,Croatia,Belgium,0,0,0.31861892114662516,0.27823060719846143,0.4031504716549134,1.097640294440883,1.2679847055591171,3.028213622227181e-06,0.0938906004013994
44,2022-12-01,Japan,Spain,2,1,0.1325903151421983,0.21329746348962342,0.6541122213681784,0.710700903151422,1.889299096848578,9.429261230693978e-07,0.03543878329586655
45,2022-12-02,Cameroon,Brazil,1,0,0.09005221316863242,0.1869008197839541,0.7230469670474136,0.5568307707333408,2.0431692292666592,5.198097580904068e-06,0.04135781380221061
