logged_at_utc,submission_id,match,home_team,away_team,home_goals,away_goals,score,odds_decimal,bet_percentage
2026-06-11T00:00:00+00:00,conversation-01-mexico,Mexico vs South Africa,Mexico,South Africa,1,0,1-0,4.70,10
2026-06-11T00:00:00+00:00,conversation-01-mexico,Mexico vs South Africa,Mexico,South Africa,2,0,2-0,5.00,26
2026-06-11T00:00:00+00:00,conversation-01-mexico,Mexico vs South Africa,Mexico,South Africa,2,1,2-1,8.00,25
2026-06-11T00:00:00+00:00,conversation-01-mexico,Mexico vs South Africa,Mexico,South Africa,3,0,3-0,7.50,6
2026-06-11T00:00:00+00:00,conversation-01-mexico,Mexico vs South Africa,Mexico,South Africa,3,1,3-1,12,9
2026-06-11T00:00:00+00:00,conversation-01-mexico,Mexico vs South Africa,Mexico,South Africa,3,2,3-2,36,3
2026-06-11T00:00:00+00:00,conversation-01-mexico,Mexico vs South Africa,Mexico,South Africa,4,0,4-0,14.50,7
2026-06-11T00:00:00+00:00,conversation-01-mexico,Mexico vs South Africa,Mexico,South Africa,4,1,4-1,24,2
2026-06-11T00:00:00+00:00,conversation-01-mexico,Mexico vs South Africa,Mexico,South Africa,4,2,4-2,55,0
2026-06-11T00:00:00+00:00,conversation-01-mexico,Mexico vs South Africa,Mexico,South Africa,4,3,4-3,150,0
2026-06-11T00:00:00+00:00,conversation-01-mexico,Mexico vs South Africa,Mexico,South Africa,5,0,5-0,34,7
2026-06-11T00:00:00+00:00,conversation-01-mexico,Mexico vs South Africa,Mexico,South Africa,5,1,5-1,50,0
2026-06-11T00:00:00+00:00,conversation-01-mexico,Mexico vs South Africa,Mexico,South Africa,5,2,5-2,100,0
2026-06-11T00:00:00+00:00,conversation-01-mexico,Mexico vs South Africa,Mexico,South Africa,5,3,5-3,350,0
2026-06-11T00:00:00+00:00,conversation-01-mexico,Mexico vs South Africa,Mexico,South Africa,5,4,5-4,500,0
2026-06-11T00:00:00+00:00,conversation-01-mexico,Mexico vs South Africa,Mexico,South Africa,0,0,0-0,7.75,3
2026-06-11T00:00:00+00:00,conversation-01-mexico,Mexico vs South Africa,Mexico,South Africa,1,1,1-1,7.25,7
2026-06-11T00:00:00+00:00,conversation-01-mexico,Mexico vs South Africa,Mexico,South Africa,2,2,2-2,23,2
2026-06-11T00:00:00+00:00,conversation-01-mexico,Mexico vs South Africa,Mexico,South Africa,3,3,3-3,90,0
2026-06-11T00:00:00+00:00,conversation-01-mexico,Mexico vs South Africa,Mexico,South Africa,4,4,4-4,450,0
2026-06-11T00:00:00+00:00,conversation-01-mexico,Mexico vs South Africa,Mexico,South Africa,,,Other,42,1
2026-06-11T00:00:00+00:00,conversation-01-mexico,Mexico vs South Africa,Mexico,South Africa,0,1,0-1,13,7
2026-06-11T00:00:00+00:00,conversation-01-mexico,Mexico vs South Africa,Mexico,South Africa,0,2,0-2,38,0
2026-06-11T00:00:00+00:00,conversation-01-mexico,Mexico vs South Africa,Mexico,South Africa,1,2,1-2,23,2
2026-06-11T00:00:00+00:00,conversation-01-mexico,Mexico vs South Africa,Mexico,South Africa,0,3,0-3,100,0
2026-06-11T00:00:00+00:00,conversation-01-mexico,Mexico vs South Africa,Mexico,South Africa,1,3,1-3,65,0
2026-06-11T00:00:00+00:00,conversation-01-mexico,Mexico vs South Africa,Mexico,South Africa,2,3,2-3,65,0
2026-06-11T00:00:00+00:00,conversation-01-mexico,Mexico vs South Africa,Mexico,South Africa,0,4,0-4,450,0
2026-06-11T00:00:00+00:00,conversation-01-mexico,Mexico vs South Africa,Mexico,South Africa,1,4,1-4,250,0
2026-06-11T00:00:00+00:00,conversation-01-mexico,Mexico vs South Africa,Mexico,South Africa,2,4,2-4,275,0
2026-06-11T00:00:00+00:00,conversation-01-mexico,Mexico vs South Africa,Mexico,South Africa,3,4,3-4,400,0
2026-06-11T00:00:00+00:00,conversation-01-mexico,Mexico vs South Africa,Mexico,South Africa,0,5,0-5,500,0
2026-06-11T00:00:00+00:00,conversation-01-mexico,Mexico vs South Africa,Mexico,South Africa,1,5,1-5,500,0
2026-06-11T00:00:00+00:00,conversation-01-mexico,Mexico vs South Africa,Mexico,South Africa,2,5,2-5,500,0
2026-06-11T00:00:00+00:00,conversation-01-mexico,Mexico vs South Africa,Mexico,South Africa,3,5,3-5,500,0
2026-06-11T00:00:00+00:00,conversation-01-mexico,Mexico vs South Africa,Mexico,South Africa,4,5,4-5,500,7
2026-06-11T00:01:00+00:00,conversation-02-mexico,Mexico vs South Africa,Mexico,South Africa,1,0,1-0,4.70,10
2026-06-11T00:01:00+00:00,conversation-02-mexico,Mexico vs South Africa,Mexico,South Africa,2,0,2-0,5.00,26
2026-06-11T00:01:00+00:00,conversation-02-mexico,Mexico vs South Africa,Mexico,South Africa,2,1,2-1,8.00,25
2026-06-11T00:01:00+00:00,conversation-02-mexico,Mexico vs South Africa,Mexico,South Africa,3,0,3-0,7.50,6
2026-06-11T00:01:00+00:00,conversation-02-mexico,Mexico vs South Africa,Mexico,South Africa,3,1,3-1,12,9
2026-06-11T00:01:00+00:00,conversation-02-mexico,Mexico vs South Africa,Mexico,South Africa,3,2,3-2,36,3
2026-06-11T00:01:00+00:00,conversation-02-mexico,Mexico vs South Africa,Mexico,South Africa,4,0,4-0,14.50,7
2026-06-11T00:01:00+00:00,conversation-02-mexico,Mexico vs South Africa,Mexico,South Africa,4,1,4-1,24,2
2026-06-11T00:01:00+00:00,conversation-02-mexico,Mexico vs South Africa,Mexico,South Africa,4,2,4-2,55,0
2026-06-11T00:01:00+00:00,conversation-02-mexico,Mexico vs South Africa,Mexico,South Africa,4,3,4-3,150,0
2026-06-11T00:01:00+00:00,conversation-02-mexico,Mexico vs South Africa,Mexico,South Africa,5,0,5-0,34,7
2026-06-11T00:01:00+00:00,conversation-02-mexico,Mexico vs South Africa,Mexico,South Africa,5,1,5-1,50,0
2026-06-11T00:01:00+00:00,conversation-02-mexico,Mexico vs South Africa,Mexico,South Africa,5,2,5-2,100,0
2026-06-11T00:01:00+00:00,conversation-02-mexico,Mexico vs South Africa,Mexico,South Africa,5,3,5-3,350,0
2026-06-11T00:01:00+00:00,conversation-02-mexico,Mexico vs South Africa,Mexico,South Africa,5,4,5-4,500,0
2026-06-11T00:01:00+00:00,conversation-02-mexico,Mexico vs South Africa,Mexico,South Africa,0,0,0-0,7.75,3
