logged_at_utc,submission_id,match,conditional_share_sigma,rank,score,outcome,outcome_label,outcome_probability,exact_score_probability,conditional_bettor_share,nominal_bonus_label,nominal_bonus_points,expected_bonus_points,base_ev,exact_score_ev,total_ev,payoff_standard_deviation,is_best_pick
2026-06-11T00:00:00+00:00,conversation-01-mexico,Mexico vs South Africa,0.01,1,1-0,home,Mexico,0.6663531372499512,0.13821451983074048,0.10526315789473684,Tres rare,50.0,50.00000032702528,32.65130372524761,6.9107260367366665,39.56202976198428,32.519949880804006,True
2026-06-11T00:00:00+00:00,conversation-01-mexico,Mexico vs South Africa,0.01,2,3-0,home,Mexico,0.6663531372499512,0.08661443242726403,0.06315789473684211,Tres rare,50.0,51.882447223345736,32.65130372524761,4.493768719187572,37.14507244443518,29.944090290310868,False
2026-06-11T00:00:00+00:00,conversation-01-mexico,Mexico vs South Africa,0.01,3,2-0,home,Mexico,0.6663531372499512,0.12992164864089606,0.2736842105263158,Rare,30.0,29.957505440655712,32.65130372524761,3.8921284960186036,36.543432221266215,27.614732883971143,False
2026-06-11T00:00:00+00:00,conversation-01-mexico,Mexico vs South Africa,0.01,4,3-1,home,Mexico,0.6663531372499512,0.05413402026704002,0.09473684210526316,Tres rare,50.0,50.000076883263105,32.65130372524761,2.7067051753521243,35.358008900599735,27.39192849023897,False
2026-06-11T00:00:00+00:00,conversation-01-mexico,Mexico vs South Africa,0.01,5,2-1,home,Mexico,0.6663531372499512,0.08120103040056004,0.2631578947368421,Rare,30.0,29.9988529398132,32.65130372524761,2.4359377695477016,35.08724149479531,26.08826438232943,False
2026-06-11T00:01:00+00:00,conversation-02-mexico,Mexico vs South Africa,0.01,1,1-0,home,Mexico,0.6663531372499512,0.13821451983074048,0.10526315789473684,Tres rare,50.0,50.00000032702528,32.65130372524761,6.9107260367366665,39.56202976198428,32.519949880804006,True
2026-06-11T00:01:00+00:00,conversation-02-mexico,Mexico vs South Africa,0.01,2,3-0,home,Mexico,0.6663531372499512,0.08661443242726403,0.06315789473684211,Tres rare,50.0,51.882447223345736,32.65130372524761,4.493768719187572,37.14507244443518,29.944090290310868,False
2026-06-11T00:01:00+00:00,conversation-02-mexico,Mexico vs South Africa,0.01,3,2-0,home,Mexico,0.6663531372499512,0.12992164864089606,0.2736842105263158,Rare,30.0,29.957505440655712,32.65130372524761,3.8921284960186036,36.543432221266215,27.614732883971143,False
2026-06-11T00:01:00+00:00,conversation-02-mexico,Mexico vs South Africa,0.01,4,3-1,home,Mexico,0.6663531372499512,0.05413402026704002,0.09473684210526316,Tres rare,50.0,50.000076883263105,32.65130372524761,2.7067051753521243,35.358008900599735,27.39192849023897,False
2026-06-11T00:01:00+00:00,conversation-02-mexico,Mexico vs South Africa,0.01,5,2-1,home,Mexico,0.6663531372499512,0.08120103040056004,0.2631578947368421,Rare,30.0,29.9988529398132,32.65130372524761,2.4359377695477016,35.08724149479531,26.08826438232943,False
2026-06-11T00:02:00+00:00,conversation-03-korea,Korea vs Czech Republic,0.01,1,2-0,home,Korea,0.3587195240364589,0.06334893361354593,0.14285714285714285,Tres rare,50.0,49.999999889834235,34.437074307500055,3.167446673698413,37.60452098119847,51.55949214373876,True
2026-06-11T00:02:00+00:00,conversation-03-korea,Korea vs Czech Republic,0.01,2,1-0,home,Korea,0.3587195240364589,0.09385027202006803,0.2857142857142857,Rare,30.0,29.234362744901656,34.437074307500055,2.743652895942363,37.180727203442416,50.31109714316727,False
2026-06-11T00:02:00+00:00,conversation-03-korea,Korea vs Czech Republic,0.01,3,3-0,home,Korea,0.3587195240364589,0.027543014614585186,0.0,Ultra rare,100.0,90.74386810518897,34.437074307500055,2.49935968540521,36.936433992905265,51.51335835603806,False
2026-06-11T00:02:00+00:00,conversation-03-korea,Korea vs Czech Republic,0.01,4,0-0,draw,Draw,0.30281502388711934,0.09745989786699374,0.19298245614035087,Tres rare,50.0,45.17167650350091,32.40120755592177,4.4024269785120795,36.803634534433854,57.1011854379707,False
2026-06-11T00:02:00+00:00,conversation-03-korea,Korea vs Czech Republic,0.01,5,3-1,home,Korea,0.3587195240364589,0.031674466806772966,0.047619047619047616,Mega rare,70.0,61.88223175770768,34.437074307500055,1.9600866957385439,36.3971610032386,49.818597944770794,False
2026-06-11T00:03:00+00:00,conversation-04-canada,Canada vs Bosnia,0.01,1,1-0,home,Canada,0.5217616322071589,0.11403279130087114,0.18867924528301888,Tres rare,50.0,47.423972939677505,33.91450609346533,5.407888008888405,39.322394102353734,40.28398581384024,True
2026-06-11T00:03:00+00:00,conversation-04-canada,Canada vs Bosnia,0.01,2,3-0,home,Canada,0.5217616322071589,0.053215302607073196,0.03773584905660377,Mega rare,70.0,67.8155037858041,33.91450609346533,3.608822555412683,37.52332864887801,38.89006513108329,False
2026-06-11T00:03:00+00:00,conversation-04-canada,Canada vs Bosnia,0.01,3,2-0,home,Canada,0.5217616322071589,0.09460498241257458,0.20754716981132076,Rare,30.0,34.50418815379629,33.91450609346533,3.264268113450062,37.17877420691539,36.95633199807714,False
2026-06-11T00:03:00+00:00,conversation-04-canada,Canada vs Bosnia,0.01,4,3-1,home,Canada,0.5217616322071589,0.04730249120628729,0.07547169811320754,Tres rare,50.0,50.10860057248096,33.91450609346533,2.3702616379391426,36.28476773140447,36.26107026848656,False
2026-06-11T00:03:00+00:00,conversation-04-canada,Canada vs Bosnia,0.01,5,4-0,home,Canada,0.5217616322071589,0.022806558260174227,0.018867924528301886,Mega rare,70.0,72.46406930453057,33.91450609346533,1.6526560183630792,35.56716211182841,35.715429111887495,False
