match_number,match_date,stage,home_team,away_team,home_score,away_score,result,home_odds,draw_odds,away_odds,home_implied_probability,draw_implied_probability,away_implied_probability,overround,home_vig_free_probability,draw_vig_free_probability,away_vig_free_probability,source_date,source_stage,source_status,source_home_score,source_away_score,source_result,official_date,official_stage,official_home_score,official_away_score,official_result,date_mismatch,score_mismatch,source_file
1,2022-11-20,Group A,Qatar,Ecuador,0,2,away,3.75,3.2,2.23,0.26666666666666666,0.3125,0.4484304932735426,1.0275971599402092,0.25950506391257705,0.3041074967725513,0.4363874393148718,2022-11-20,Group Stage,Finished,0,2,away,2022-11-20,Group A,0,2,away,False,False,data/historical/odds_2022_unformatted.txt
2,2022-11-21,Group B,England,Iran,6,2,home,1.4,4.75,11.0,0.7142857142857143,0.21052631578947367,0.09090909090909091,1.015721120984279,0.7032301480484522,0.20726783310901747,0.08950201884253028,2022-11-21,Group Stage,Finished,6,2,home,2022-11-21,Group B,6,2,home,False,False,data/historical/odds_2022_unformatted.txt
3,2022-11-21,Group A,Senegal,Netherlands,0,2,away,6.25,3.85,1.66,0.16,0.2597402597402597,0.6024096385542169,1.0221498982944768,0.15653281408819816,0.2541117111821399,0.5893554747296619,2022-11-21,Group Stage,Finished,0,2,away,2022-11-21,Group A,0,2,away,False,False,data/historical/odds_2022_unformatted.txt
4,2022-11-21,Group B,USA,Wales,1,1,draw,2.5,3.15,3.45,0.4,0.31746031746031744,0.2898550724637681,1.0073153899240856,0.3970950945464511,0.3151548369416278,0.2877500685119211,2022-11-21,Group Stage,Finished,1,1,draw,2022-11-21,Group B,1,1,draw,False,False,data/historical/odds_2022_unformatted.txt
5,2022-11-22,Group C,Argentina,Saudi Arabia,1,2,away,1.14,9.6,35.0,0.8771929824561404,0.10416666666666667,0.02857142857142857,1.0099310776942356,0.8685671743648603,0.10314235195582716,0.02829047367931259,2022-11-22,Group Stage,Finished,1,2,away,2022-11-22,Group C,1,2,away,False,False,data/historical/odds_2022_unformatted.txt
6,2022-11-22,Group D,Denmark,Tunisia,0,0,draw,1.6,4.0,7.5,0.625,0.25,0.13333333333333333,1.0083333333333333,0.6198347107438017,0.24793388429752067,0.1322314049586777,2022-11-22,Group Stage,Finished,0,0,draw,2022-11-22,Group D,0,0,draw,False,False,data/historical/odds_2022_unformatted.txt
7,2022-11-22,Group D,France,Australia,4,1,home,1.23,7.0,18.0,0.8130081300813008,0.14285714285714285,0.05555555555555555,1.0114208284939992,0.8038277511961722,0.14124401913875598,0.05492822966507177,2022-11-22,Group Stage,Finished,4,1,home,2022-11-22,Group D,4,1,home,False,False,data/historical/odds_2022_unformatted.txt
8,2022-11-22,Group C,Mexico,Poland,0,0,draw,2.48,3.25,3.25,0.40322580645161293,0.3076923076923077,0.3076923076923077,1.0186104218362284,0.3958587088915956,0.30207064555420216,0.30207064555420216,2022-11-22,Group Stage,Finished,0,0,draw,2022-11-22,Group C,0,0,draw,False,False,data/historical/odds_2022_unformatted.txt
9,2022-11-23,Group F,Belgium,Canada,1,0,home,1.62,4.25,5.75,0.6172839506172839,0.23529411764705882,0.17391304347826086,1.0264911117426037,0.6013534297139341,0.22922177791448783,0.16942479237157798,2022-11-23,Group Stage,Finished,1,0,home,2022-11-23,Group F,1,0,home,False,False,data/historical/odds_2022_unformatted.txt
10,2022-11-23,Group E,Germany,Japan,1,2,away,1.46,5.1,7.8,0.684931506849315,0.19607843137254904,0.12820512820512822,1.0092150664269923,0.6786774490736001,0.19428805404852084,0.12703449687787902,2022-11-23,Group Stage,Finished,1,2,away,2022-11-23,Group E,1,2,away,False,False,data/historical/odds_2022_unformatted.txt
