event_id,commence_time,home_team,away_team,home_score,away_score,final_score,optimal_pick,optimal_exact_score,outcome_correct,exact_score_correct,base_points,actual_exact_bonus_points,total_points,api_last_update
80d82d1113934bfbea4ce8daf37a2433,2026-06-11T19:00:00Z,Mexico,South Africa,2,0,2-0,Mexico,2-0,True,True,49,30,79,2026-06-12T22:55:23Z
384cbb5d76b535896a24fe65f93cfac8,2026-06-12T02:00:00Z,South Korea,Czech Republic,2,1,2-1,South Korea,2-1,True,True,96,20,116,2026-06-14T21:41:36Z
d1f4f946c70a0b4e81f5d43e9d32361c,2026-06-12T19:02:00Z,Canada,Bosnia & Herzegovina,1,1,1-1,Canada,2-1,False,False,0,20,0,2026-06-14T21:41:36Z
c12986f447a515fbe641addd786dbb24,2026-06-13T01:02:00Z,USA,Paraguay,4,1,4-1,United States,1-0,True,False,74,70,74,2026-06-14T21:41:36Z
26634922d3f78c146440816023e40de8,2026-06-13T19:04:00Z,Qatar,Switzerland,1,1,1-1,Switzerland,0-2,False,False,0.0,20.0,0.0,2026-06-16T08:31:29Z
f6c8748a16516e0998f95de14235432a,2026-06-13T22:04:00Z,Brazil,Morocco,1,1,1-1,Brazil,1-0,False,False,0.0,20.0,0.0,2026-06-16T08:31:29Z
5ae41a06735c926eeb7f74006933adce,2026-06-14T01:00:00Z,Haiti,Scotland,0,1,0-1,Scotland,0-1,True,True,44.0,50.0,94.0,2026-06-16T08:31:29Z
564084f52cc9f1abcc18187c168a7cdc,2026-06-14T04:00:00Z,Australia,Turkey,2,0,2-0,Turkey,0-1,False,False,0.0,50.0,0.0,2026-06-17T03:53:47Z
d79edbd6aaeb578d33e313446b18d333,2026-06-14T17:01:00Z,Germany,Curaçao,7,1,7-1,Germany,4-1,True,False,15.0,0.0,15.0,2026-06-17T03:53:47Z
32ec06abda2398ac41501c86eb9aa376,2026-06-14T20:00:00Z,Netherlands,Japan,2,2,2-2,Netherlands,2-0,False,False,0.0,50.0,0.0,2026-06-17T03:53:47Z
05752bb341e197001387b64f3a06b9b2,2026-06-14T23:03:00Z,Ivory Coast,Ecuador,1,0,1-0,Ecuador,0-1,False,False,0.0,20.0,0.0,2026-06-17T03:53:47Z
