date,time,home_team,away_team,game_stage,matched_home_team,matched_away_team,home_probability,draw_probability,away_probability,home_points,draw_points,away_points,home_expected_points,draw_expected_points,away_expected_points,home_best_exact_score,draw_best_exact_score,away_best_exact_score,home_best_exact_score_probability,draw_best_exact_score_probability,away_best_exact_score_probability,home_best_exact_score_model_conditional_probability,draw_best_exact_score_model_conditional_probability,away_best_exact_score_model_conditional_probability,home_best_exact_score_conditional_probability,draw_best_exact_score_conditional_probability,away_best_exact_score_conditional_probability,home_best_exact_bonus_label,draw_best_exact_bonus_label,away_best_exact_bonus_label,home_best_exact_bonus_points,draw_best_exact_bonus_points,away_best_exact_bonus_points,home_exact_bonus_expected_points,draw_exact_bonus_expected_points,away_exact_bonus_expected_points,home_expected_boost_from_exact_score,draw_expected_boost_from_exact_score,away_expected_boost_from_exact_score,home_total_expected_points,draw_total_expected_points,away_total_expected_points,optimal_pick,optimal_exact_score,optimal_exact_bonus_label,optimal_pick_probability,optimal_pick_points,optimal_exact_score_probability,optimal_exact_score_model_conditional_probability,optimal_exact_score_conditional_probability,optimal_exact_bonus_points,optimal_base_expected_points,optimal_exact_bonus_expected_points,optimal_expected_points,second_best_pick,second_best_expected_points,expected_points_edge,base_only_optimal_pick,strategy_changed_by_exact_bonus
2026-06-28,21:00,South Africa,Canada,elimination,South Africa,Canada,0.17591052389045042,0.19709025355132953,0.6269992225582202,141.0,121.0,64.0,24.80338386855351,23.847920679710874,40.12795024372609,2-0,1-1,0-1,0.028963931358415185,0.07305014199470015,0.1343942562205541,0.15581240787561895,0.43408104587924684,0.2080975441592204,0.14169122914742915,0.3425619918846602,0.1654962723551445,Tres rare,Exact,Tres rare,50.0,20.0,50.0,1.4481965679207591,1.4610028398940031,6.719712811027705,1.4481965679207591,1.4610028398940031,6.719712811027705,26.25158043647427,25.30892351960488,46.847663054753795,Canada,0-1,Tres rare,0.6269992225582202,64.0,0.1343942562205541,0.2080975441592204,0.1654962723551445,50.0,40.12795024372609,6.719712811027705,46.847663054753795,South Africa,26.25158043647427,20.596082618279524,Canada,False
2026-06-29,19:00,Brazil,Japan,elimination,Brazil,Japan,0.6142262341296241,0.18867510530632642,0.19709866056404954,65.0,121.0,141.0,39.924705218425565,22.829687742065495,27.790911139530984,2-0,1-1,0-2,0.12290981492981662,0.07521256543529989,0.0402082458670601,0.2043269901508279,0.4390164913932842,0.1770161459976389,0.18871859153580464,0.34983746302384106,0.154955968771178,Tres rare,Exact,Tres rare,50.0,20.0,50.0,6.145490746490831,1.5042513087059977,2.010412293353005,6.145490746490831,1.5042513087059977,2.010412293353005,46.070195964916394,24.33393905077149,29.80132343288399,Brazil,2-0,Tres rare,0.6142262341296241,65.0,0.12290981492981662,0.2043269901508279,0.18871859153580464,50.0,39.924705218425565,6.145490746490831,46.070195964916394,Japan,29.80132343288399,16.268872532032404,Brazil,False
2026-06-29,22:30,Germany,Paraguay,elimination,Germany,Paraguay,0.7726300994312443,0.10800587342557766,0.11936402714317812,45.0,140.0,169.0,34.768354474405996,15.120822279580873,20.172520587197102,1-0,1-1,0-1,0.15859782951878085,0.04434375893488459,0.04071861086310529,0.20678719594087658,0.44048251814226497,0.30761771935807664,0.17008405722366593,0.3521994703610552,0.23748312489876997,Tres rare,Exact,Rare,50.0,20.0,30.0,7.929891475939042,0.8868751786976918,1.2215583258931588,7.929891475939042,0.8868751786976918,1.2215583258931588,42.69824595034504,16.007697458278564,21.39407891309026,Germany,1-0,Tres rare,0.7726300994312443,45.0,0.15859782951878085,0.20678719594087658,0.17008405722366593,50.0,34.768354474405996,7.929891475939042,42.69824595034504,Paraguay,21.39407891309026,21.30416703725478,Germany,False
2026-06-30,03:00,Netherlands,Morocco,elimination,Netherlands,Morocco,0.46447876843005237,0.2716086893291313,0.2639125422408163,80.0,114.0,122.0,37.15830147440419,30.96339058352097,32.19733015337959,2-0,1-1,0-2,0.09948574954196292,0.09964055056278344,0.06092325302607238,0.2111402394967055,0.4314415186169806,0.20453053785642816,0.19493489199342112,0.33896173362648774,0.18027871693508013,Tres rare,Exact,Tres rare,50.0,20.0,50.0,4.974287477098146,1.9928110112556687,3.046162651303619,4.974287477098146,1.9928110112556687,3.046162651303619,42.132588951502335,32.95620159477664,35.24349280468321,Netherlands,2-0,Tres rare,0.46447876843005237,80.0,0.09948574954196292,0.2111402394967055,0.19493489199342112,50.0,37.15830147440419,4.974287477098146,42.132588951502335,Morocco,35.24349280468321,6.889096146819128,Netherlands,False
2026-06-30,19:00,Cote d'Ivoire,Norway,elimination,Ivory Coast,Norway,0.27697532455536217,0.22043437524030968,0.5025903002043282,123.0,119.0,75.0,34.06796492030955,26.23169065359685,37.69427251532461,1-0,1-1,0-2,0.08336818243851306,0.08313636978919592,0.11246211392939931,0.2993926059248977,0.4470712453526299,0.2099801448374699,0.2433403635812401,0.36623586447677475,0.18759649982934656,Rare,Exact,Tres rare,30.0,20.0,50.0,2.5010454731553917,1.6627273957839184,5.623105696469965,2.5010454731553917,1.6627273957839184,5.623105696469965,36.56901039346494,27.894418049380768,43.317378211794576,Norway,0-2,Tres rare,0.5025903002043282,75.0,0.11246211392939931,0.2099801448374699,0.18759649982934656,50.0,37.69427251532461,5.623105696469965,43.317378211794576,Cote d'Ivoire,36.56901039346494,6.748367818329633,Norway,False
2026-06-30,23:00,France,Sweden,elimination,France,Sweden,0.8243716773240168,0.07865588918111835,0.09697243349486497,38.0,148.0,182.0,31.32612373831264,11.641071598805516,17.648982896065423,2-0,1-1,0-1,0.135142232847888,0.0325506720313147,0.029979428682201256,0.1674598201224882,0.44760965360320737,0.24927600918404413,0.1562181659607903,0.37364885223874456,0.1931482561957879,Tres rare,Exact,Tres rare,50.0,20.0,50.0,6.757111642394401,0.651013440626294,1.4989714341100628,6.757111642394401,0.651013440626294,1.4989714341100628,38.08323538070704,12.292085039431809,19.147954330175487,France,2-0,Tres rare,0.8243716773240168,38.0,0.135142232847888,0.1674598201224882,0.1562181659607903,50.0,31.32612373831264,6.757111642394401,38.08323538070704,Sweden,19.147954330175487,18.93528105053155,France,False
2026-07-01,03:00,Mexico,Ecuador,elimination,Mexico,Ecuador,0.4540158125453841,0.2830440816383442,0.26294010581627175,84.0,108.0,122.0,38.137328253812264,30.568760816941175,32.07869290958515,1-0,1-1,0-1,0.17340718639206248,0.10149567018803063,0.10153156343002208,0.37826944254217454,0.390197112469773,0.36072695444390845,0.31269907694544713,0.2925834096549136,0.2854870266211237,Exact,Rare,Rare,20.0,30.0,30.0,3.46814372784125,3.0448701056409186,3.0459469029006625,3.46814372784125,3.0448701056409186,3.0459469029006625,41.605471981653515,33.6136309225821,35.12463981248581,Mexico,1-0,Exact,0.4540158125453841,84.0,0.17340718639206248,0.37826944254217454,0.31269907694544713,20.0,38.137328253812264,3.46814372784125,41.605471981653515,Ecuador,35.12463981248581,6.480832169167705,Mexico,False
2026-07-01,18:00,England,DR Congo,elimination,England,DR Congo,0.8225655522318468,0.0901478497857394,0.08728659798241378,39.0,144.0,181.0,32.080056537042026,12.981290369146475,15.798874234816894,1-0,0-0,0-1,0.18248242878942295,0.03862315063790043,0.0360627469929079,0.22385253529593305,0.4446434971003087,0.36818838577251906,0.1837749868147751,0.559769948516759,0.28451613954745253,Tres rare,Exact,Rare,50.0,20.0,30.0,9.124121439471148,0.7724630127580085,1.081882409787237,9.124121439471148,0.7724630127580085,1.081882409787237,41.20417797651317,13.753753381904483,16.88075664460413,England,1-0,Tres rare,0.8225655522318468,39.0,0.18248242878942295,0.22385253529593305,0.1837749868147751,50.0,32.080056537042026,9.124121439471148,41.20417797651317,DR Congo,16.88075664460413,24.323421331909042,England,False
2026-07-01,22:00,Belgium,Senegal,elimination,Belgium,Senegal,0.4707110226073961,0.2588205119941,0.2704684653985039,80.0,112.0,123.0,37.65688180859169,28.9878973433392,33.26762124401598,2-0,1-1,0-2,0.09976162157110287,0.09780635398211229,0.061067119562387036,0.21078676354761264,0.4297656097186414,0.20414424005773332,0.19453035560606313,0.33675156205462986,0.17994893322000513,Tres rare,Exact,Tres rare,50.0,20.0,50.0,4.988081078555143,1.9561270796422459,3.053355978119352,4.988081078555143,1.9561270796422459,3.053355978119352,42.64496288714683,30.944024422981446,36.320977222135326,Belgium,2-0,Tres rare,0.4707110226073961,80.0,0.09976162157110287,0.21078676354761264,0.19453035560606313,50.0,37.65688180859169,4.988081078555143,42.64496288714683,Senegal,36.320977222135326,6.323985665011506,Belgium,False
2026-07-02,02:00,United States,Bosnia,elimination,USA,Bosnia & Herzegovina,0.7710235311675917,0.11197741080941294,0.11699905802299529,52.0,132.0,157.0,40.09322362071477,14.781018226842509,18.36885210961026,1-0,1-1,0-1,0.16843165958928838,0.045553823963642506,0.04207801163748073,0.21971787375316595,0.4346732067526497,0.3271540971926769,0.18054704160545304,0.34339302566943003,0.25266459637909156,Tres rare,Exact,Rare,50.0,20.0,30.0,8.42158297946442,0.9110764792728501,1.262340349124422,8.42158297946442,0.9110764792728501,1.262340349124422,48.514806600179185,15.692094706115359,19.63119245873468,United States,1-0,Tres rare,0.7710235311675917,52.0,0.16843165958928838,0.21971787375316595,0.18054704160545304,50.0,40.09322362071477,8.42158297946442,48.514806600179185,Bosnia,19.63119245873468,28.883614141444504,United States,False
