score_bucket,actual_2022_group_frequency,expected_2022_h2h_poisson_probability,raw_actual_to_expected_ratio,calibration_multiplier
0-0,0.12499999999999999,0.09884503006022143,1.2646058170435441,1.0926120359652405
0-1,0.0625,0.10289682285116317,0.6074045657406174,0.8625915980092161
0-2,0.12499999999999999,0.06400444074131814,1.9529894887325543,1.333546321056394
0-3,0.020833333333333332,0.031185005990456465,0.6680560952821029,0.883819633348736
0-4,0.0,0.01310683613109697,0.0,0.7
1-0,0.12499999999999999,0.12060816651346593,1.0364140639352453,1.012744922377336
1-1,0.0625,0.10793171806906558,0.5790698148620798,0.8526744352017279
1-2,0.10416666666666666,0.05788184412192546,1.7996431911748412,1.2798751169111944
1-3,0.020833333333333332,0.024852112805493164,0.8382922408403223,0.9434022842941128
1-4,0.0,0.009450399934038348,0.0,0.7
2-0,0.10416666666666666,0.08510583702350609,1.2239661850443466,1.0783881647655214
2-1,0.0625,0.06629811406594174,0.9427115820796343,0.979949053727872
2-2,0.0,0.03043143724378565,0.0,0.7
2-3,0.041666666666666664,0.011227773661855227,3.711035501919964,1.35
2-4,0.020833333333333332,0.0037524688845813493,5.551900355239758,1.35
3-0,0.0,0.04567182051284007,0.0,0.7
3-1,0.0,0.031674121664478444,0.0,0.7
3-2,0.020833333333333332,0.012594821888503879,1.6541189321898457,1.228941626266446
3-3,0.020833333333333332,0.003953034867115557,5.27021238963545,1.35
3-4,0.0,0.0011294910198935842,0.0,0.7
4-0,0.0,0.02062299469048649,0.0,0.7
4-1,0.041666666666666664,0.013044837104468836,3.194111688247353,1.35
4-2,0.0,0.004607957086083048,0.0,0.7
4-3,0.0,0.0012448816101412613,0.0,0.7
4-4,0.0,0.0003001427909686939,0.0,0.7
other,0.041666666666666664,0.03757788866710539,1.1088080822151265,1.0380828287752943
